Word,Count
"care,health",23768
"health,nejm",17101
"health,information",15947
"group,health",15912
"health,physician",15515
"health,services",14189
"health,knowledge",13892
"health,organization",13861
"health,lead",13007
"become,health",12986
"advance,health",12984
"career,health",12937
"build,health",12937
"health,prepare",12921
"health,medicine",12140
"medicine,university",12115
"health,university",11976
"health,medical",9541
"health,research",8771
"health,hospital",8374
"department,medicine",7856
"medical,medicine",7584
"center,medicine",6512
"center,health",6364
"hospital,medicine",6011
"health,institute",5697
"department,health",5579
"cancer,health",5215
"clinic,hospital",5164
"clinic,university",5122
"care,medicine",5071
"institute,medicine",4689
"cancer,medicine",4059
"health,public",3957
"health,national",3935
"first,patients",3881
"clinical,health",3846
"health,s",3746
"health,trials",3686
"medicine,research",3604
"electronic,health",3490
"cancer,clinic",3356
"clinic,medical",3296
"center,clinic",3220
"health,records",3215
"health,patient",3161
"data,health",3115
"first,study",2947
"medicine,school",2763
"health,physicians",2752
"medicine,new",2728
"king,medicine",2704
"first,group",2658
"centre,health",2656
"health,related",2644
"health,study",2629
"health,massachusetts",2599
"health,patients",2554
"clinical,medicine",2508
"clinic,institute",2507
"health,icmje",2484
"health,years",2447
"health,use",2430
"health,human",2416
"critical,medicine",2407
"health,mms",2388
"health,journal",2348
"binding,hiv",2340
"activity,hiv",2340
"journal,medicine",2334
"drug,health",2320
"full,medicine",2309
"medicine,pfizer",2243
"division,medicine",2222
"comprehensive,health",2217
"health,school",2196
"medicine,nejm",2180
"clinic,health",2120
"health,new",2100
"drug,patients",2082
"clinic,de",2066
"drug,safety",2033
"health,system",2030
"health,management",2028
"health,members",2010
"ethical,health",1968
"clinic,clinical",1957
"clinic,moscow",1934
"college,medicine",1928
"college,health",1869
"health,sciences",1867
"definition,health",1818
"antibody,hiv",1769
"hiv,interruption",1769
"hiv,ub",1769
"cd,hiv",1769
"hiv,treatment",1769
"first,rate",1749
"centre,medicine",1749
"health,state",1728
"health,trial",1714
"de,health",1711
"influenza,women",1705
"dr,health",1702
"first,two",1651
"health,subjects",1640
"education,health",1632
"clinic,state",1610
"first,trial",1600
"adoption,health",1600
"clinic,medicine",1580
"health,hospitals",1566
"drug,study",1538
"health,support",1532
"health,london",1520
"medicine,s",1498
"health,intervention",1492
"first,primary",1486
"health,toronto",1469
"data,first",1466
"general,health",1458
"health,king",1456
"health,technology",1454
"medicine,system",1448
"england,medicine",1443
"drug,fda",1442
"health,women",1436
"medicine,st",1432
"health,moscow",1430
"health,levels",1424
"massachusetts,medicine",1420
"first,per",1410
"de,medicine",1392
"medicine,sciences",1368
"first,year",1349
"health,trust",1345
"critical,health",1341
"concerns,health",1338
"foundation,health",1337
"health,united",1335
"intensive,medicine",1334
"health,well",1320
"first,oscs",1292
"medicine,national",1291
"first,influenza",1283
"first,second",1273
"health,outcomes",1270
"first,years",1269
"health,washington",1255
"study,women",1245
"health,registration",1244
"health,st",1242
"emergency,medicine",1238
"first,mg",1234
"health,led",1224
"groups,health",1223
"medicine,toronto",1222
"drug,s",1220
"cleveland,clinic",1210
"association,health",1209
"health,report",1209
"activity,first",1202
"health,interventions",1198
"aviv,medicine",1197
"ccca,women",1197
"medicine,tel",1197
"medicine,read",1197
"dermatology,medicine",1197
"bonn,medicine",1197
"protein,women",1195
"medicine,moscow",1194
"health,systems",1192
"first,one",1184
"canada,health",1183
"health,pfizer",1182
"hiv,targets",1170
"hiv,involving",1170
"clinic,examination",1170
"hiv,infection",1170
"blocks,hiv",1170
"hiv,vivo",1170
"hiv,persons",1170
"hiv,monoclonal",1170
"hiv,study",1170
"hiv,site",1170
"cells,hiv",1170
"hiv,shown",1170
"antiretroviral,hiv",1170
"assessed,hiv",1170
"cell,first",1169
"city,health",1154
"patients,women",1153
"health,j",1148
"clinic,influenza",1148
"disease,women",1145
"health,include",1140
"first,reported",1134
"health,international",1132
"vaccine,women",1131
"clinical,drug",1117
"end,first",1114
"dr,medicine",1113
"clinic,vaccine",1107
"groups,women",1107
"group,medicine",1105
"health,studies",1103
"health,safety",1100
"article,medicine",1090
"medicine,universit",1088
"family,health",1086
"health,northwell",1085
"drug,use",1084
"clinic,st",1081
"human,medicine",1078
"first,vaccine",1077
"first,treated",1073
"health,providers",1070
"health,products",1070
"health,score",1065
"padi,women",1064
"set,women",1064
"guidance,health",1062
"health,policy",1061
"contemporary,health",1055
"common,health",1054
"events,first",1048
"health,potential",1044
"medicine,oncology",1039
"faculty,medicine",1035
"clinical,first",1034
"clinic,groups",1031
"clinic,petersburg",1029
"city,medicine",1025
"clinic,infants",1025
"culture,health",1024
"academy,clinic",1020
"health,results",1019
"call,health",1016
"first,received",1014
"drug,drugs",1009
"health,used",1009
"cleveland,medicine",1008
"comprehensive,medicine",1004
"ago,health",1000
"medicine,watch",997
"genetics,medicine",996
"medicine,necessary",995
"clinic,regional",994
"health,preliminary",992
"drug,first",988
"health,md",986
"belmont,health",984
"health,promulgate",984
"health,stakeholders",984
"health,principles",984
"articulation,health",984
"health,indignities",984
"division,health",982
"city,clinic",979
"germany,medicine",978
"clinic,study",976
"france,medicine",975
"medicine,review",971
"health,society",968
"cleveland,health",968
"clinic,j",968
"first,treatment",963
"health,survey",957
"academy,health",956
"communication,health",956
"expert,health",956
"medicine,society",955
"death,first",954
"medicine,promise",947
"machine,medicine",947
"medicine,shifts",947
"medicine,paradigm",947
"medicine,video",947
"learning,medicine",947
"core,medicine",947
"changes,medicine",947
"medicine,structural",947
"enable,medicine",947
"hospital,women",946
"first,renal",944
"federal,health",939
"cardiovascular,first",937
"england,health",937
"medicine,south",936
"healthcare,medicine",933
"health,life",930
"medicine,washington",930
"health,ministry",930
"among,first",930
"per,women",929
"date,first",928
"c,first",927
"group,women",926
"health,scores",925
"centre,clinic",919
"control,first",917
"health,practice",917
"first,subjects",907
"clinic,russian",906
"infants,women",902
"biomedical,health",900
"health,panel",896
"clinic,pfizer",894
"clinic,research",894
"health,provides",890
"health,professional",890
"international,medicine",889
"medicine,tbingen",886
"medicine,osaka",886
"lyon,medicine",886
"health,satisfaction",883
"risk,women",883
"disease,health",882
"clinic,m",880
"first,survival",878
"health,two",878
"clinic,osaka",878
"health,lyon",878
"health,tbingen",878
"clinic,tbingen",878
"clinic,lyon",878
"health,osaka",878
"decisions,health",877
"clinic,sumy",870
"health,sumy",870
"first,time",868
"health,make",860
"drug,information",860
"health,issues",860
"health,legislation",859
"drug,new",858
"health,programs",852
"first,weeks",849
"first,period",848
"health,universit",846
"health,professionals",846
"medicine,state",846
"health,mission",844
"s,women",842
"adverse,drug",841
"internal,medicine",839
"first,results",837
"first,screening",837
"drug,heparin",836
"drug,oscs",836
"changes,health",835
"medicine,pulmonary",834
"abdulaziz,medicine",832
"bin,medicine",832
"day,first",829
"first,within",829
"also,drug",828
"continuing,health",827
"health,population",824
"medicine,public",823
"dc,health",822
"health,year",819
"health,voice",818
"first,mortality",816
"health,intensive",816
"health,influence",814
"dedicated,health",812
"health,statewide",812
"health,ontario",812
"advancing,health",812
"analysis,first",811
"health,whether",810
"medicine,patients",810
"first,health",804
"general,medicine",804
"health,supported",804
"first,levels",803
"gene,health",801
"london,medicine",801
"clinically,health",800
"describing,medicine",798
"machinelearning,medicine",798
"health,tampere",798
"sequencing,women",798
"alopecia,women",798
"medicine,toulouse",798
"medicine,scientific",797
"being,health",796
"health,supporting",796
"advocating,health",796
"health,publications",796
"addresses,health",796
"health,nationally",796
"first,use",796
"accredited,health",796
"contributes,health",796
"globally,health",796
"courses,health",796
"catalyst,health",796
"first,panel",796
"health,leadership",796
"extends,health",796
"health,resident",796
"health,knowledge+",796
"health,locally",796
"health,students",796
"health,perspectives",796
"health,watch",796
"auspices,health",796
"advice,health",796
"educating,health",796
"health,works",796
"health,specialty",796
"associated,first",795
"medicine,women",794
"health,priority",793
"medicine,ministry",791
"pregnant,women",778
"clinic,general",775
"clopidogrel,drug",774
"first,months",774
"basic,health",772
"figure,first",771
"directive,health",771
"enrollment,health",763
"a,health",762
"administration,drug",759
"clinic,ukraine",756
"biopsy,health",756
"clinic,dnipropetrovsk",756
"analyses,first",756
"health,primary",756
"medicine,york",755
"boston,health",754
"first,placebo",752
"clinic,s",751
"health,result",749
"drug,research",745
"mutations,women",745
"clinic,national",740
"used,women",739
"first,medical",739
"first,heparin",738
"clinic,oncology",737
"health,oncology",737
"first,overall",736
"glasgow,medicine",736
"health,profiling",735
"health,russian",732
"among,women",730
"clinic,nhs",729
"clinic,london",729
"health,nhs",729
"health,one",726
"medicine,physicians",726
"first,increased",723
"health,treatment",722
"david,health",722
"drug,events",721
"first,showed",721
"health,project",718
"change,health",717
"first,week",717
"first,outcome",712
"health,measures",708
"clinic,similar",708
"health,week",707
"first,shown",707
"health,participants",707
"drug,hospital",706
"first,groups",706
"france,health",705
"drug,food",704
"first,therapy",703
"clinic,scientific",703
"health,record",701
"data,women",699
"first,response",699
"health,world",699
"medicine,publication",698
"medicine,womens",698
"mothers,women",697
"health,pharmacy",696
"found,health",696
"first,may",695
"b,health",695
"health,states",694
"first,point",693
"act,drug",693
"agency,health",693
"disparities,health",692
"first,pandemic",692
"g,health",688
"health,office",686
"clinic,patient",685
"university,women",685
"health,much",683
"health,samples",681
"health,scientific",678
"first,free",674
"health,kingdom",673
"functionalities,health",672
"evaluation,health",672
"emergency,health",670
"discovery,women",665
"fees,medicine",665
"fees,women",665
"database,health",663
"p=,women",663
"first,similar",663
"health,oxford",663
"institution,medicine",662
"health,regional",661
"medicine,patient",660
"clinic,group",657
"clinic,illness",656
"daily,first",655
"agency,drug",653
"health,unit",650
"first,number",649
"medicine,trials",648
"drug,p",648
"health,prospectively",644
"fda,health",644
"expanded,health",644
"assigns,health",644
"first,severe",643
"clinic,year",643
"events,health",642
"days,first",640
"receiving,women",640
"health,obtained",640
"event,first",637
"health,resources",636
"first,patient",633
"levels,women",633
"astrazeneca,women",630
"astrazeneca,medicine",630
"end,health",625
"abdullah,medicine",624
"medicine,saud",624
"dnipropetrovsk,health",624
"health,language",624
"health,including",624
"health,ukraine",624
"faisal,medicine",624
"medicine,san",623
"medicine,policy",622
"health,residents",622
"british,health",621
"b,first",618
"first,to",617
"far,medicine",616
"dose,first",615
"first,up",613
"also,health",613
"current,health",613
