Word,Count
"article,first",49417
"data,first",36820
"first,journal",24201
"author,first",23854
"first,please",22792
"authors,first",20914
"first,research",19734
"first,published",19485
"first,publication",19059
"first,text",18800
"first,reference",18707
"first,information",16568
"first,use",16284
"access,first",14986
"first,manuscript",14775
"first,s",12244
"article,health",12141
"first,references",11998
"first,open",11862
"files,first",11816
"first,submission",11464
"elsevier,first",11447
"first,list",11349
"first,may",10586
"ensure,first",10192
"available,first",10010
"first,include",9984
"first,online",9752
"accepted,first",9704
"first,used",9452
"data,health",9148
"first,including",8716
"articles,first",8684
"first,must",8663
"first,link",8480
"editor,first",8432
"first,version",8256
"file,first",8144
"first,review",8032
"first,number",7960
"first,title",7884
"abstract,first",7847
"first,work",7668
"first,tables",7576
"e,first",7420
"first,funding",7272
"address,first",7164
"also,first",7147
"first,name",7098
"first,style",6754
"first,one",6737
"health,journal",6693
"artwork,first",6584
"health,research",6579
"electronic,first",6493
"color,first",6456
"first,given",6324
"abbreviations,first",6279
"corresponding,first",6260
"first,process",6224
"first,submit",6064
"first,following",6011
"first,peer",6008
"directly,first",5886
"first,page",5803
"author,health",5749
"figures,first",5724
"first,results",5675
"health,please",5661
"first,provide",5496
"first,relevant",5400
"brief,first",5336
"first,language",5336
"first,mail",5312
"first,year",5270
"first,paper",5190
"first,note",5144
"first,names",5130
"authors,health",5128
"first,line",5112
"first,using",5107
"first,source",5032
"first,present",4996
"first,mendeley",4881
"first,free",4872
"first,make",4820
"first,visit",4752
"health,text",4724
"health,information",4722
"first,footnotes",4688
"health,publication",4597
"health,reference",4587
"first,word",4536
"first,provided",4520
"first,format",4476
"first,form",4476
"first,indicate",4452
"first,video",4408
"first,share",4368
"first,statement",4368
"details,first",4192
"check,first",4173
"health,use",4110
"first,software",4088
"first,gold",4088
"first,minimum",4068
"final,first",4068
"first,support",4068
"embargo,first",4024
"first,period",4024
"first,section",3969
"find,first",3942
"first,material",3928
"first,separate",3916
"health,published",3879
"first,table",3872
"first,separately",3871
"first,sciencedirect",3815
"figure,first",3812
"citations,first",3812
"access,health",3800
"first,supplementary",3788
"first,pdf",3788
"first,publishing",3764
"first,institution",3744
"first,repository",3744
"addition,first",3744
"first,receive",3744
"english,first",3744
"dataset,first",3720
"first,single",3718
"first,full",3700
"first,methods",3687
"health,manuscript",3657
"first,web",3616
"detailed,first",3552
"first,see",3548
"appear,first",3548
"elsevier,health",3512
"first,new",3503
"first,system",3496
"first,requirements",3496
"doi,first",3492
"citation,first",3444
"essential,first",3426
"body,first",3400
"first,guide",3220
"example,first",3208
"first,order",3186
"first,interests",3184
"appropriate,first",3184
"first,included",3164
"first,sharing",3144
"health,s",3141
"first,ways",3120
"first,public",3120
"automatically,first",3120
"first,grant",3120
"editing,first",3120
"first,journals",3100
"etc,first",3049
"&,first",2999
"files,health",2934
"first,proof",2888
"health,references",2885
"health,open",2883
"first,formatting",2868
"fee,first",2860
"first,reviewed",2860
"first,possible",2844
"first,time",2844
"first,sent",2840
"first,instead",2840
"b,first",2837
"first,service",2835
"health,submission",2834
"decision,first",2820
"first,images",2820
"first,keywords",2820
"first,tiff",2820
"first,standard",2807
"first,illustrations",2804
"first,resolution",2800
"acceptance,first",2796
"first,writing",2796
"health,list",2795
"american,first",2780
"first,interest",2776
"declaration,first",2776
"datasets,first",2776
"first,placed",2765
"first,submitting",2756
"first,scientific",2752
"blind,first",2712
"first,presented",2675
"first,stage",2600
"health,may",2593
"encouraged,first",2584
"avoid,first",2560
"changes,first",2560
"first,issue",2554
"first,management",2551
"first,submitted",2540
"clearly,first",2540
"first,supply",2536
"first,template",2516
"different,first",2516
"health,review",2510
"defined,first",2507
"correct,first",2500
"ensure,health",2498
"first,immediately",2496
"first,print",2496
"first,reuse",2496
"first,permission",2496
"date,first",2496
"first,products",2496
"first,includes",2496
"health,online",2495
"available,health",2484
"first,image",2480
"health,include",2480
"asked,first",2476
"first,follow",2452
"copy,first",2452
"editor,health",2423
"first,made",2414
"concise,first",2411
"accepted,health",2410
"animation,first",2408
"first,often",2387
"first,state",2367
"cite,first",2367
"first,required",2367
"health,used",2344
"field,first",2312
"first,throughout",2292
"editable,first",2260
"first,way",2260
"first,multiple",2248
"analysis,first",2244
"first,type",2244
"first,within",2240
"abstracts,first",2240
"book,first",2220
"first,formulae",2216
"described,first",2216
"corrections,first",2216
"cited,first",2196
"first,materials",2196
"first,sure",2196
"first,next",2196
"first,part",2196
"first,post",2196
"first,sources",2196
"first,need",2184
"additional,first",2172
"captions,first",2172
"health,including",2166
"accounting,health",2160
"first,researcher",2156
"first,purposes",2152
"conclusions,first",2131
"health,number",2120
"double,first",2112
"health,work",2110
"complete,first",2108
"health,link",2107
"articles,health",2093
"health,management",2050
"health,version",2046
"health,must",2025
"file,health",2025
"academy,first",1984
"first,personal",1963
"consider,first",1962
"health,title",1962
"first,titles",1956
"first,introduction",1936
"first,necessary",1933
"first,responsible",1927
"caption,first",1916
"choose,first",1916
"first,via",1912
"examples,first",1896
"first,long",1896
"dpi,first",1896
"first,payable",1892
"first,potential",1892
"consecutively,first",1892
"first,office",1892
"credit,first",1892
"first,footnote",1888
"health,tables",1882
"funding,health",1879
"chapter,first",1876
"first,supports",1872
"first,upon",1872
"first,rearrangement",1872
"approved,first",1872
"first,green",1872
"first,readers",1872
"first,proofing",1872
"agreement,first",1872
"communication,first",1872
"encourages,first",1872
"copyright,first",1872
"first,inclusive",1872
"commons,first",1872
"first,offprints",1872
"creative,first",1872
"drawings,first",1872
"affiliation,first",1872
"elsewhere,first",1872
"first,permitted",1872
"first,works",1872
"first,written",1872
"commercial,first",1872
"first,illustration",1872
"first,repositories",1872
"first,keep",1868
"and,first",1852
"also,health",1845
"e,health",1842
"first,resources",1832
"affiliations,first",1828
"association,first",1812
"charge,first",1808
"first,two",1806
"first,refer",1798
"address,health",1779
"first,j",1740
"first,listed",1734
"abstract,health",1727
"discussion,first",1720
"first,highlights",1720
"first,numbering",1680
"content,first",1656
"first,instructions",1652
"health,name",1649
"end,first",1644
"health,one",1643
"health,style",1641
"equations,first",1636
"first,wish",1636
"already,first",1636
"artwork,health",1635
"first,graphical",1620
"first,injury",1620
"first,preferred",1616
