Word,Count
"harvard,health",33964
"content,health",21245
"business,health",21240
"health,licensing",21204
"health,medical",19782
"health,school",18618
"health,information",15269
"contact,health",12664
"health,help",12388
"health,us",11300
"health,publications",11069
"health,using",10990
"health,online",10906
"health,professionals",10845
"clear,health",10836
"form,health",10798
"goals,health",10726
"health,please",10700
"development,health",10692
"health,helping",10690
"consumer,health",10689
"health,may",10665
"achieve,health",10659
"health,interested",10653
"health,leverage",10602
"differentiator,health",10598
"get,health",7551
"health,public",7079
"experts,health",6659
"advice,health",6606
"health,site",6181
"health,time",5165
"health,use",5090
"health,including",4772
"health,used",4487
"also,health",4289
"health,third",4187
"health,otherwise",4087
"health,women",4052
"forum,health",4041
"health,like",3454
"cancer,women",3348
"health,people",3156
"risk,women",3087
"men,women",3006
"study,women",2837
"care,health",2817
"health,s",2811
"health,medicine",2692
"health,others",2685
"health,heart",2653
"control,health",2621
"health,might",2597
"health,think",2524
"health,university",2428
"health,ways",2409
"disease,health",2325
"breast,women",2271
"health,personal",2260
"health,study",2254
"heart,women",2209
"s,women",2179
"health,seen",2169
"health,many",2160
"health,service",2160
"health,search",2153
"health,written",2141
"etc,health",2128
"health,open",2125
"health,share",2114
"health,terms",2101
"health,unable",2080
"health,private",2066
"appear,health",2061
"health,predict",2054
"collected,health",2047
"health,one",2046
"carefully,health",2045
"health,located",2041
"health,purposes",2033
"design,health",2030
"health,secure",2028
"google,health",2028
"health,parties",2027
"health,party",2026
"health,protected",2023
"health,weekly",2022
"health,risk",2021
"governed,health",2020
"disclosing,health",2019
"health,msn",2017
"amended,health",2016
"affiliates,health",2015
"health,unlawful",2015
"health,unauthorized",2015
"engines,health",2015
"disclosed,health",2015
"health,yahoo",2015
"may,women",1927
"good,health",1833
"also,women",1679
"disease,women",1664
"health,report",1608
"blood,health",1574
"medical,medicine",1457
"doctor,health",1456
"cancer,health",1437
"health,men",1426
"health,healthy",1417
"dr,health",1413
"health,mental",1407
"one,women",1392
"health,new",1359
"exercise,health",1353
"health,well",1347
"even,health",1332
"women,years",1328
"benefits,health",1318
"diet,health",1317
"health,problems",1315
"age,women",1307
"health,years",1283
"harvard,medicine",1279
"doctor,may",1269
"doctor,pain",1249
"health,life",1242
"many,women",1237
"health,research",1228
"first,health",1206
"family,health",1181
"health,weight",1163
"blood,doctor",1155
"health,special",1136
"researchers,women",1116
"better,health",1100
"health,important",1051
"health,studies",1050
"dr,medicine",1049
"likely,women",1040
"medicine,people",1028
"health,pain",1025
"medicine,women",1024
"people,women",1024
"first,women",992
"health,make",985
"drug,people",984
"first,people",964
"health,need",960
"medicine,school",957
"body,health",955
"editor,health",955
"health,treatment",952
"health,physical",942
"doctor,get",940
"health,n",932
"t,women",931
"estrogen,women",929
"health,says",923
"flu,shot",920
"health,stress",919
"n,women",917
"depression,health",910
"health,high",910
"doctor,help",908
"doctor,one",908
"blood,women",906
"health,improve",904
"food,health",903
"drug,drugs",901
"medicine,study",896
"medicine,new",890
"health,pressure",888
"health,publishing",885
"treatment,women",879
"doctor,first",878
"health,t",873
"first,may",870
"health,year",869
"health,take",869
"doctor,s",865
"first,one",854
"harvard,women",848
"less,women",845
"health,much",837
"health,long",835
"day,health",830
"doctor,take",827
"symptoms,women",824
"health,researchers",819
"could,health",817
"found,women",816
"found,health",814
"health,would",808
"eating,health",807
"health,patients",805
"american,health",804
"health,way",803
"conditions,health",799
"first,time",792
"health,know",792
"new,women",791
"diabetes,health",790
"blood,first",784
"women,year",784
"health,sleep",780
"drug,may",773
"bone,women",773
"age,health",773
"first,s",771
"even,women",770
"also,doctor",766
