Word,Count
"first,s",1842
"first,one",721
"first,mr",633
"first,new",630
"first,full",447
"article,first",397
"first,timesmachine",380
"film,first",371
"first,time",346
"first,york",345
"first,two",344
"s,women",342
"first,would",307
"first,today",278
"first,man",269
"first,view",268
"first,order",258
"first,made",255
"appears,first",240
"first,last",237
"first,version",230
"first,n",228
"first,t",220
"$,first",219
"first,yesterday",217
"first,picture",215
"first,upon",212
"first,page",210
"edition,first",209
"first,paper",209
"first,men",201
"first,may",200
"day,first",198
"first,print",198
"first,subscribe",197
"first,headline",197
"first,reprints",197
"first,miss",194
"archives,first",193
"first,like",192
"first,house",192
"first,night",191
"first,little",187
"first,people",184
"first,said",184
"first,great",183
"also,first",183
"first,screen",183
"first,story",181
"first,years",179
"first,much",176
"first,well",176
"city,first",171
"even,first",169
"one,women",165
"first,old",165
"first,second",164
"could,first",159
"first,way",157
"first,young",154
"health,s",154
"first,year",152
"first,good",152
"first,whose",147
"first,many",146
"men,women",141
"first,street",140
"first,three",140
"first,make",138
"first,life",136
"first,john",133
"first,long",132
"first,work",130
"first,part",130
"every,first",128
"first,world",127
"fire,first",126
"first,states",125
"first,however",123
"first,might",121
"first,love",121
"first,still",119
"american,first",118
"first,war",118
"doctor,s",118
"first,state",116
"first,wife",116
"first,girl",112
"first,m",111
"called,first",109
"first,since",109
"first,say",107
"first,without",105
"first,scene",105
"first,room",105
"first,women",104
"health,new",104
"first,woman",104
"first,president",104
"country,first",102
"first,place",101
"first,scenes",101
"best,first",100
"first,right",99
"color,first",99
"first,several",99
"back,first",98
"first,next",98
"first,never",97
"first,present",96
"family,first",95
"first,four",94
"first,united",94
"first,seems",94
"almost,first",94
"first,must",94
"first,music",93
"another,first",93
"first,left",93
"first,general",92
"first,us",92
"new,women",92
"first,stone",92
"first,stage",91
"first,something",90
"came,first",90
"first,quite",89
"de,first",89
"course,first",89
"first,take",88
"first,get",88
"first,go",87
"far,first",87
"first,found",87
"first,south",85
"first,whole",84
"first,things",84
"first,george",83
"first,less",83
"first,gen",83
"department,health",83
"first,going",82
"case,first",82
"children,women",82
"first,large",82
"first,production",82
"first,see",81
"come,first",81
"end,first",81
"first,point",80
"company,first",80
"first,march",80
"children,first",78
"first,morning",78
"first,government",78
"army,first",78
"first,half",77
"comes,first",77
"first,th",76
"ago,first",76
"first,seen",75
"first,play",75
"fact,first",75
"first,union",75
"directed,first",75
"health,york",74
"congress,first",74
"article,women",74
"first,home",74
"first,washington",74
"first,west",73
"first,high",73
"child,first",73
"first,let",73
"days,first",73
"full,women",73
"first,put",73
"women,would",73
"first,five",73
"fine,first",73
"first,opened",73
"first,thing",72
"characters,first",72
"cast,first",72
"first,mrs",71
"first,yet",71
"ever,first",71
"first,james",71
"first,others",71
"first,took",71
"among,first",71
"better,first",70
"women,york",70
