Word,Count
"people,said",89
"like,people",71
"people,women",68
"people,time",64
"new,times",59
"first,time",58
"people,would",55
"people,work",52
"aids,people",52
"im,people",51
"one,time",51
"one,people",51
"times,york",51
"get,people",50
"new,people",48
"dont,people",48
"care,health",43
"men,women",40
"go,people",40
"science,times",40
"people,want",39
"time,work",38
"one,work",37
"first,one",37
"health,would",37
"people,years",37
"first,new",36
"people,think",35
"women,work",34
"first,women",34
"first,people",34
"know,people",34
"health,insurance",34
"people,theyre",33
"like,times",33
"time,would",33
"said,time",33
"people,two",32
"dance,work",31
"one,women",31
"first,years",30
"people,world",30
"also,people",29
"people,told",29
"never,people",29
"first,two",29
"time,years",29
"health,people",28
"like,time",28
"aids,first",28
"people,times",28
"aids,like",28
"people,saying",27
"people,things",27
"people,thing",27
"new,women",27
"aids,said",26
"people,percent",26
"people,way",26
"first,mr",26
"new,work",26
"come,people",26
"said,women",26
"people,really",26
"people,year",26
"aids,work",26
"first,said",26
"like,work",25
"mr,people",25
"facebook,times",25
"art,work",25
"said,work",25
"much,people",24
"also,first",24
"living,people",24
"like,women",24
"life,people",24
"people,person",24
"people,something",24
"times,women",24
"time,women",24
"people,used",24
"aids,time",24
"aids,years",24
"black,people",24
"could,people",24
"mr,time",23
"could,time",23
"people,thats",23
"believe,people",23
"old,people",23
"new,time",23
"many,women",23
"people,right",23
"dance,time",22
"made,people",22
"health,new",22
"aids,women",22
"aids,epidemic",22
"first,like",22
"others,people",22
"aids,health",22
"health,said",22
"long,people",22
"people,still",22
"make,people",22
"people,take",21
"work,would",21
"cant,people",21
"first,would",21
"feel,people",21
"people,say",21
"never,time",21
"killed,people",21
"time,way",21
"much,work",21
"show,women",21
"lot,people",20
"ive,work",20
"people,see",20
"people,us",20
"work,years",20
"dance,women",20
"also,women",20
"times,work",20
"people,someone",20
"stimulus,women",20
"first,work",20
"percent,women",20
"still,work",19
"aids,one",19
"joke,people",19
"aids,would",19
"even,people",19
"black,women",19
"still,time",19
"jokes,people",19
"people,talk",19
"may,people",19
"show,time",19
"health,private",19
"aids,virus",19
"last,time",18
"still,women",18
"people,treatment",18
"many,time",18
"time,year",18
"female,women",18
"much,time",18
"society,women",18
"choreographed,work",18
"art,time",18
"aids,new",18
"people,young",18
"page,times",18
"first,show",18
"got,people",17
"us,work",17
"look,people",17
"aegyo,women",17
"hes,people",17
"get,work",17
"aids,year",17
"first,york",17
"didnt,people",17
"last,people",17
"health,system",17
"article,times",17
"many,people",17
"back,people",17
"mr,work",17
"million,people",17
"country,people",17
"aids,mr",17
"long,time",17
"health,public",17
"stories,women",17
"also,work",17
"people,show",17
"people,talking",17
"going,people",16
"go,time",16
"early,time",16
"time,world",16
"day,first",16
"aids,cured",16
"people,wanted",16
"art,people",16
"theres,time",16
"people,twitter",16
"might,people",16
"least,people",16
"letters,times",16
"become,people",16
"companies,health",16
"need,people",16
"americans,people",16
"health,times",16
"black,first",16
"things,time",16
"people,rape",15
"time,us",15
"different,people",15
"disease,people",15
"people,subject",15
"based,work",15
"newsletter,times",15
"work,youre",15
"article,people",15
"born,people",15
"good,people",15
"much,women",15
"always,time",15
"people,today",15
"future,people",15
"health,world",15
"let,people",15
"sign,times",15
"great,people",15
"time,went",15
"women,young",15
"aids,causes",15
"patient,time",15
"time,virus",14
"time,times",14
"said,times",14
"$,health",14
"people,well",14
"movement,women",14
"first,second",14
"aids,drugs",14
"health,mr",14
"korean,women",14
"live,people",14
"first,last",14
"people,trump",14
"city,women",14
"everything,people",14
"feedback,women",14
"home,women",14
"running,time",14
"also,time",14
"get,time",14
"response,women",14
"people,youre",14
"mother,people",14
"first,known",14
"audience,people",14
"aids,also",14
"one,times",14
"school,time",14
"editor,times",14
"first,old",14
"group,people",14
"thought,time",13
"people,theres",13
"first,ms",13
"american,first",13
"exponential,time",13
"death,people",13
"first,woman",13
"health,many",13
"drug,people",13
"gay,people",13
"cases,people",13
"aids,patient",13
"think,time",13
"since,times",13
"happened,people",13
"part,people",13
"kind,time",13
"two,women",13
"$,first",13
"second,time",13
"people,story",13
"body,work",13
"health,industry",13
"says,women",13
"people,yet",13
"end,people",13
"know,work",13
"people,true",13
"based,women",13
"began,time",13
"process,women",13
"global,health",13
"says,work",13
"people,york",13
"might,time",13
