Word,Count
"people,said",380
"care,health",279
"health,people",244
"health,said",192
"people,would",189
"like,people",176
"first,time",170
"new,times",169
"one,people",167
"times,york",148
"people,time",144
"get,people",142
"said,time",141
"science,times",140
"health,would",138
"health,public",134
"dont,people",127
"people,women",126
"people,years",126
"first,people",124
"first,mr",122
"mr,time",121
"many,people",119
"also,people",118
"mr,people",118
"first,said",117
"new,people",117
"people,work",116
"million,people",115
"like,times",108
"time,work",106
"one,time",106
"im,people",103
"know,people",103
"said,work",102
"health,insurance",101
"could,people",99
"people,think",96
"people,year",95
"health,new",95
"dr,health",93
"people,want",92
"disease,people",92
"facebook,times",91
"first,one",90
"first,years",89
"could,health",88
"cancer,people",87
"health,medical",87
"said,women",86
"first,new",86
"health,one",85
"people,two",85
"health,law",84
"go,people",84
"health,many",83
"health,time",82
"people,percent",80
"aids,people",80
"much,people",79
"dr,people",78
"time,would",77
"mr,work",77
"health,women",76
"health,like",75
"one,work",75
"people,theyre",74
"people,way",74
"sign,times",74
"time,years",74
"going,people",73
"people,told",73
"newsletter,times",73
"health,mr",72
"first,would",72
"like,time",71
"people,risk",70
"health,states",70
"also,health",69
"first,two",68
"disease,health",68
"people,thats",68
"didnt,people",67
"life,people",67
"health,patients",67
"people,times",66
"one,women",66
"new,time",66
"said,times",66
"page,times",65
"implants,women",64
"care,people",64
"health,years",63
"like,work",63
"even,people",62
"also,first",62
"men,women",61
"mr,times",61
"first,like",60
"people,something",60
"people,saying",60
"work,would",60
"new,women",60
"also,women",59
"people,really",59
"doctors,health",59
"last,people",59
"new,work",59
"come,people",59
"could,time",58
"first,ms",58
"first,year",57
"death,people",57
"people,person",57
"people,things",57
"people,thing",57
"people,right",56
"need,people",56
"letters,times",56
"health,system",56
"health,mental",55
"health,times",54
"health,million",54
"people,say",54
"health,research",54
"breast,women",54
"health,services",54
"first,work",54
"old,people",53
"people,theres",53
"many,women",53
"long,time",53
"many,time",52
"health,including",52
"people,someone",52
"companies,health",52
"law,people",52
"cant,people",51
"ms,people",51
"never,people",51
"lot,people",51
"make,people",51
"first,last",50
"country,people",50
"people,trump",50
"long,people",49
"may,people",49
"people,us",49
"federal,health",49
"health,human",49
"research,said",49
"percent,women",49
"people,states",49
"people,world",49
"every,people",48
"got,people",48
"people,take",48
"much,time",48
"died,people",48
"people,youre",48
"people,still",47
"$,health",47
"people,without",47
"women,years",46
