Word,Count
"people,said",28
"science,times",18
"alzheimers,people",18
"care,health",17
"alzheimers,research",16
"health,time",14
"first,said",14
"implants,women",13
"health,people",12
"baptist,first",12
"one,people",12
"time,work",12
"great,people",12
"first,ms",11
"mr,work",11
"health,one",10
"new,people",10
"new,times",10
"first,time",10
"mr,people",10
"ms,people",10
"health,patients",10
"like,times",9
"also,people",9
"awful,people",9
"sign,times",9
"found,people",9
"date,first",9
"many,people",9
"million,people",9
"newsletter,times",9
"said,time",9
"breast,women",9
"people,research",8
"said,women",8
"new,work",8
"facebook,times",8
"times,york",8
"first,people",8
"first,oconnor",8
"court,first",8
"page,times",8
"cemetery,first",7
"dr,first",7
"dr,people",7
"first,remains",7
"get,people",7
"people,things",7
"patients,research",7
"dr,health",7
"first,one",7
"didnt,people",7
"health,said",7
"one,work",7
"first,philadelphia",7
"people,studies",7
"like,time",7
"first,new",7
"health,like",7
"never,people",6
"mice,people",6
"one,time",6
"life,people",6
"also,first",6
"people,theyre",6
"day,first",6
"people,risk",6
"theater,work",6
"first,times",6
"graduated,research",6
"work,york",6
"health,implants",6
"disease,people",6
"first,met",6
"health,including",6
"first,health",6
"new,research",6
"people,would",6
"family,people",6
"said,work",6
"people,state",6
"people,week",6
"people,york",5
"director,research",5
"could,health",5
"people,percent",5
"health,new",5
"first,moved",5
"work,year",5
"exercise,health",5
"exercise,people",5
"health,medicine",5
"including,people",5
"people,sensory",5
"one,women",5
"doctors,health",5
"drugs,people",5
"california,health",5
"help,time",5
"people,review",5
"people,trial",5
"health,human",5
"patients,time",5
"church,first",5
"people,sound",5
"health,kaiser",5
"ms,work",5
"people,something",5
"also,health",5
"social,work",5
"make,people",5
"depression,health",5
"university,work",5
"a,health",5
"like,people",5
"ms,time",5
"health,risk",5
"disease,research",5
"first,thomas",5
"patients,people",5
"first,would",5
"compared,health",5
"first,street",5
"people,years",5
"health,would",5
"dr,research",5
"doesnt,people",5
"people,repeated",4
"people,results",4
"dementia,research",4
"london,times",4
"people,researchers",4
"failed,women",4
"appears,time",4
"health,news",4
"cause,people",4
"people,time",4
"people,three",4
"people,someone",4
"health,khn",4
"havent,people",4
"health,many",4
"first,mr",4
"manhattan,research",4
"like,work",4
"health,oconnor",4
"first,work",4
"people,remains",4
"disease,health",4
"one,times",4
"compared,time",4
"blood,first",4
"health,things",4
"effects,people",4
"a,work",4
"lot,time",4
"also,research",4
"long,people",4
"clinic,smell",4
"health,reporter",4
"first,risk",4
"health,weve",4
"sandra,time",4
"coming,people",4
"justice,time",4
"job,work",4
"canceled,research",4
"people,stimulation",4
"much,people",4
"boone,people",4
"first,vote",4
"home,people",4
"last,people",4
"justice,work",4
"institute,research",4
"people,reduced",4
"john,time",4
"john,work",4
"people,sometimes",4
"health,ms",4
"silicone,women",4
"called,work",4
"first,project",4
"light,people",4
"alzheimers,first",4
"including,women",4
"director,work",4
"first,step",4
"may,time",4
"time,want",4
"men,women",4
"biogen,research",4
"people,thought",4
"research,said",4
"school,time",4
"first,year",4
"director,people",4
"first,long",4
"health,science",4
"first,years",4
"first,york",4
"health,much",4
"first,home",4
"first,last",4
"first,found",4
"state,time",4
"first,months",4
"african,first",4
"health,really",4
"health,week",4
"hard,work",4
"big,work",4
"also,work",4
"drug,first",4
"court,time",4
"time,weve",4
"first,london",4
"people,told",4
"least,people",4
"research,university",4
"first,went",4
"risk,women",4
"depression,time",4
"first,later",4
"epidemics,health",4
"people,stopped",4
"de,times",4
"author,health",4
"chavkin,work",4
"first,many",4
"health,may",3
"time,vote",3
"people,six",3
"lasting,people",3
"developed,people",3
"based,health",3
"issue,people",3
"research,trials",3
"city,health",3
"city,first",3
"case,time",3
"got,people",3
"cemetery,health",3
