Word,Count
"people,women",28
"aids,people",24
"men,women",23
"people,would",21
"stimulus,women",20
"people,percent",19
"people,time",18
"people,said",18
"time,would",18
"new,times",18
"society,women",17
"times,york",17
"percent,women",17
"aegyo,women",17
"aids,years",16
"science,times",16
"new,people",16
"article,times",15
"times,work",14
"aids,like",14
"never,time",14
"response,women",14
"feedback,women",14
"many,women",13
"people,year",13
"never,people",13
"like,people",13
"aids,year",13
"process,women",12
"show,women",12
"health,people",12
"korean,women",12
"article,people",12
"dont,people",12
"aids,time",12
"people,work",12
"loop,women",12
"people,times",12
"begin,women",12
"get,people",12
"times,women",12
"experiences,women",12
"people,years",12
"disease,people",12
"health,would",11
"much,women",11
"aids,said",11
"may,people",11
"people,treatment",11
"housework,women",11
"aids,new",11
"one,people",11
"article,women",10
"aids,epidemic",10
"aids,cured",10
"people,virus",10
"americans,people",10
"black,people",10
"still,women",10
"biological,women",10
"others,people",10
"women,work",10
"american,women",10
"said,time",10
"speak,women",10
"aids,first",10
"million,people",10
"housework,work",10
"time,virus",9
"women,young",9
"even,people",9
"like,time",9
"back,people",9
"like,times",9
"made,people",9
"drugs,people",9
"living,people",9
"men,people",9
"people,population",9
"often,women",9
"drug,people",9
"home,women",9
"couples,women",9
"like,women",9
"learned,people",9
"aids,virus",9
"new,time",9
"people,still",9
"mr,time",9
"people,yet",9
"aids,going",9
"health,said",9
"negative,women",9
"systemic,women",8
"forward,women",8
"share,women",8
"care,health",8
"housework,times",8
"however,women",8
"increase,women",8
"time,years",8
"female,women",8
"new,work",8
"aids,disease",8
"live,people",8
"divide,work",8
"chores,work",8
"divide,times",8
"free,people",8
"every,people",8
"aids,work",8
"aids,would",8
"people,trump",8
"aids,health",8
"long,women",8
"$,health",8
"aids,drugs",8
"people,white",8
"stories,women",8
"machinery,women",8
"couples,work",8
"people,world",8
"people,today",8
"impact,women",7
"womans,women",7
"make,people",7
"aids,infection",7
"infections,people",7
"black,women",7
"infected,people",7
"providing,women",7
"died,people",7
"aids,within",7
"first,still",7
"health,test",7
"people,take",7
"department,health",7
"first,years",7
"people,working",7
"story,women",7
"almost,people",7
"time,war",7
"much,people",7
"sex,work",7
"american,people",7
"single,women",7
"clinic,said",7
"life,people",7
"infected,women",7
"metoo,women",7
"times,trump",7
"many,time",7
"refugees,times",7
"novel,people",7
"home,work",7
"keeps,people",7
"one,time",7
"people,us",7
"people,war",7
"population,women",7
"based,women",7
"people,soon",6
"cascade,women",6
"comes,first",6
"may,work",6
"marriages,times",6
"class,people",6
"chores,women",6
"home,times",6
"disease,health",6
"people,though",6
"first,known",6
"percent,times",6
"forum,women",6
"creation,women",6
"bravely,women",6
"societal,women",6
