Word,Count
"health,people",14
"health,public",11
"health,said",10
"care,health",9
"research,said",9
"dr,people",9
"health,vaccination",9
"may,people",7
"director,health",7
"dr,health",7
"science,times",7
"ms,work",7
"people,said",7
"health,states",6
"general,health",6
"people,social",6
"health,research",6
"health,living",6
"assisted,health",6
"research,wisconsin",6
"like,people",6
"health,measles",6
"media,people",6
"health,vaccinations",6
"angeles,times",5
"health,united",5
"health,protect",5
"decision,research",5
"get,health",5
"times,york",5
"health,organization",5
"government,research",5
"flu,health",5
"health,officials",5
"american,health",5
"new,times",5
"los,times",5
"like,times",5
"flu,people",5
"health,world",5
"become,people",5
"new,people",4
"thousands,time",4
"media,research",4
"research,scientists",4
"research,work",4
"marathon,women",4
"see,time",4
"among,people",4
"better,health",4
"health,social",4
"group,research",4
"disease,people",4
"disease,health",4
"health,include",4
"health,lives",4
"living,time",4
"health,one",4
"health,work",4
"first,research",4
"health,tedros",4
"institute,research",4
"people,work",4
"geneva,people",4
"first,lab",4
"first,media",4
"health,must",4
"health,national",4
"first,social",4
"health,media",4
"health,like",4
"children,health",4
"research,social",4
"pandemic,people",4
"health,role",4
"lab,people",4
"could,research",4
"said,work",4
"adults,research",3
"health,outbreaks",3
"winner,women",3
"wisconsin,work",3
"health,human",3
"people,right",3
"leave,people",3
"health,many",3
"like,time",3
"diseases,health",3
"diseases,people",3
"epidemics,health",3
"dangerous,research",3
"people,vaccine",3
"marathon,time",3
"global,people",3
"time,would",3
"work,would",3
"failure,people",3
"first,two",3
"federal,research",3
"humans,people",3
"health,nursing",3
"global,health",3
"better,people",3
"championing,health",3
"one,people",3
"email,health",3
"health,wisconsin",3
"advance,health",3
"assistant,health",3
"dr,work",3
"research,viruses",3
"health,new",3
"africa,health",3
"health,studies",3
"health,whether",3
"health,services",3
"helped,work",3
"time,winner",3
"health,worlds",3
"health,medical",3
"get,time",3
"health,made",3
"first,vaccination",3
"page,times",3
"new,time",3
"health,pandemic",3
"although,health",3
"human,research",3
"ghebreyesus,health",3
"achievements,health",3
"assisted,time",3
"got,health",3
"different,people",3
"outbreak,people",3
"living,people",3
"health,save",3
"time,year",3
"people,protect",3
"people,way",3
"health,residents",3
"people,want",3
"people,public",3
"could,people",3
"people,theres",3
"greatest,health",3
"health,vaccine",3
"first,said",3
"health,regional",3
"could,health",3
"may,time",3
"boston,women",3
"research,use",3
"health,risk",3
"measles,people",3
"made,research",3
"lab,research",3
"people,used",3
"facebook,times",3
"news,times",3
"death,people",3
"chase,work",3
"like,work",3
"one,times",3
"research,young",3
"agencys,health",3
"health,making",3
"adhanom,health",3
"department,health",3
"research,vetted",2
"health,targets",2
"lipsitch,people",2
"health,still",2
"executive,health",2
"research,united",2
"people,virtual",2
"people,use",2
"times,years",2
"health,high",2
"research,told",2
"health,six",2
"health,merely",2
"health,institutes",2
"people,would",2
"work,works",2
"people,study",2
"health,long",2
"people,without",2
"even,time",2
"horses,times",2
"information,research",2
"adams,health",2
"health,low",2
"health,much",2
"children,people",2
"industry,time",2
"research,unleashed",2
"affecting,health",2
"health,years",2
"health,plan",2
"health,noncommunicable",2
"people,spread",2
"health,need",2
"people,polarization",2
"times,two",2
"health,yet",2
"heart,people",2
"kind,people",2
"sarah,time",2
"panel,women",2
"research,worldwide",2
"research,university",2
"plastic,work",2
"research,services",2
"research,say",2
"netherlands,research",2
"netherlands,work",2
"research,revealed",2
"health,pay",2
"october,research",2
"actually,work",2
"time,want",2
"race,women",2
"last,women",2
"people,samples",2
"times,traced",2
"health,serve",2
"people,single",2
"people,stay",2
"work,yet",2
"let,research",2
"people,says",2
"deadly,research",2
"stakes,times",2
"dont,people",2
"health,time",2
"disney,times",2
"health,problems",2
"legacy,times",2
"people,type",2
"people,runners",2
"health,requirements",2
"first,know",2
"email,research",2
"fears,first",2
"hard,work",2
"people,rotational",2
"late,time",2
"research,two",2
"company,times",2
"research,terrorism",2
"shower,work",2
"research,sparked",2
"music,times",2
"people,received",2
"mr,work",2
"adm,health",2
"cause,people",2
"people,schwartlnder",2
"model,time",2
"journal,research",2
"rubella,time",2
"decided,health",2
"coverage,health",2
"might,research",2
"research,s",2
"also,times",2
"college,first",2
"together,work",2
"first,new",2
"first,months",2
"takes,time",2
"brought,work",2
"studies,work",2
"time,times",2
"notified,research",2
"lindsay,women",2
"center,health",2
"otherwise,people",2
"centers,health",2
"night,time",2
"nothing,people",2
"residents,time",2
"times,vietnamese",2
"times,wed",2
"people,position",2
"blamed,people",2
"big,people",2
"big,health",2
"newspaper,times",2
"seemed,work",2
"people,regional",2
"amda,time",2
"sarah,women",2
"five,time",2
"boston,time",2
"people,speech",2
"performance,work",2
"last,time",2
