Word,Count
"aids,first",36
"aids,cancer",33
"aids,women",24
"aids,health",17
"hiv,women",15
"cancer,hiv",15
"aids,drug",14
"first,hiv",14
"drug,hiv",13
"&,cancer",13
"care,health",12
"health,hiv",12
"band,first",11
"men,women",11
"cancer,gt",10
"cancer,cure",9
"first,s",7
"cancer,tha",6
"health,lung",6
"&,women",6
"breast,cancer",6
"aid,first",6
"supposed,women",6
"aids,doctor",6
"amp,first",6
"first,kit",6
"&,first",6
"amp,women",6
"doctor,said",5
"first,time",5
"aids,clinic",5
"health,plan",5
"first,one",5
"women,years",5
"doctor,remember",4
"first,w",4
"could,health",4
"drug,use",4
"benefits,health",4
"global,health",4
"dominate,health",4
"cancer,comes",4
"first,love",4
"cancer,develops",4
"health,whose",4
"center,health",4
"health,public",4
"banana,health",4
"doctor,sebi",4
"health,women",4
"help,women",4
"election,health",4
"box,first",4
"health,human",4
"us,women",4
"sex,women",4
"doctor,time",4
"first,like",4
"doctor,real",4
"transgender,women",4
"disease,health",4
"cancer,manage",4
"cancer,drugs",4
"cure,women",4
"people,women",4
"drug,t",3
"cancer,oil",3
"women,would",3
"ever,first",3
"rights,women",3
"cancer,simpsons",3
"first,get",3
"day,health",3
"first,hand",3
"eating,health",3
"first,hearing",3
"health,research",3
"wait,women",3
"amp,health",3
"health,n",3
"health,know",3
"health,loss",3
"first,skin",3
"diabetes,meds",3
"asthma,health",3
"health,services",3
"cancer,really",3
"amp,cancer",3
"drug,s",3
"ago,women",3
"health,weight",3
"&,health",3
"dangers,drug",3
"lynched,women",3
"drug,used",3
"drug,factory",3
"first,opened",3
"health,reduces",3
"black,first",3
"cancer,cbdoil",3
"drug,largest",3
"drug,kenya",3
"first,world",3
"cancer,patients",3
"gachororo,health",3
"health,symptoms",3
"new,women",3
"health,t",3
"cancer,rick",3
"cancer,rso",3
"denied,women",3
"first,years",3
"drug,n",3
"community,drug",3
"voting,women",3
"drug,gusiis",3
"shocker,women",3
"also,cancer",3
"health,map",3
"colorado,health",2
"cancer,nominee",2
"first,im",2
"cancer,postdoctoral",2
"first,generic",2
"doctor,s",2
"first,t",2
"first,three",2
"clinic,series",2
"national,women",2
"first,m",2
"cure,health",2
"cancer,n",2
"luke,women",2
"jus,women",2
"cancer,medical",2
"cancer,like",2
"first,flu",2
"clinic,film",2
"cancer,immunology",2
"cancer,ilaz",2
"clinic,health",2
"clinic,university",2
"cn,first",2
"health,sup",2
"health,studentupdate",2
"cleaned,first",2
"cancer,fellow",2
"first,search",2
"cancer,use",2
"clinic,villa",2
"$,first",2
"first,idk",2
"drug,think",2
"act,first",2
"africa,drug",2
"aidsiseveryday,first",2
"cancer,think",2
"first,proposed",2
"drug,sensitive",2
"drug,selling",2
"bioprinted,first",2
"cancer,screening",2
"feels,women",2
"first,key",2
"diabetes,positive",2
"risen,women",2
"diabetes,reasons",2
"broad,cancer",2
"positively,women",2
"cancer,chuka",2
"cancer,re",2
"discussion,health",2
"clinic,left",2
"cancer,dirt",2
"cell,health",2
"drug,going",2
"drug,white",2
"flu,hiv",2
"first,since",2
"benefits,cancer",2
"first,human",2
"health,internship",2
"refl,women",2
"health,policy",2
"reproductive,women",2
"finkelstein,first",2
"sei,women",2
"old,women",2
"health,next",2
"first,looking",2
"first,meeting",2
"health,low",2
"group,health",2
"black,women",2
"first,heart",2
"balance,health",2
"buttons,first",2
"addressing,health",2
"women,world",2
"women,workshop",2
"videotaping,women",2
"abus,drug",2
"three,women",2
"still,women",2
"pregnancy,women",2
"around,health",2
"positive,women",2
"pause,women",2
"living,women",2
"health,poor",2
"health,program",2
"health,us",2
"first,old",2
"health,highresolution",2
"clinic,th",2
"health,may",2
"first,put",2
"aur,cancer",2
"avram,first",2
"diabetes,taking",2
"health,innbcl",2
"go,women",2
"health,might",2
"health,tania",2
"br,cancer",2
"chicago,clinic",2
"health,need",2
"health,skills",2
"first,let",2
"health,way",2
"first,recently",2
"girls,women",2
"first,pays",2
"first,thinking",2
"first,place",2
"good,women",2
"goals,women",2
"cancer,diabetes",2
"found,women",2
"cancer,first",2
"first,work",2
"diana,first",2
"health,join",2
"first,uks",2
"cancer,obama",2
"first,sorry",2
"april,first",2
"cancer,saying",2
"better,cancer",2
"first,hospital",2
"fight,first",2
"cancer,want",2
"first,shook",2
"cancer,system",2
"first,person",2
"cancer,top",2
"clinic,wife",2
"health,preps",2
"anniversary,clinic",2
"clinic,little",2
"health,nd",2
"drug,event",2
"first,n",2
"first,middlesex",2
"first,need",2
"first,play",2
"drug,matters",2
"drug,new",2
"first,silence=death",2
"cost,health",2
"countries,health",2
"first,unit",2
"health,meeting",2
"cancer,naturally",2
"aids,diabetes",2
"cancer,research",2
"developing,health",2
"fear,women",2
"health,reference",2
"device,first",2
"find,women",2
"developed,diabetes",2
"dela,first",2
"flu,like",2
"first,vascularized",2
"cancer,suffering",2
"cancer,sun",2
"cancer,yeh",2
"clinic,hiv",2
"attend,women",2
"coin,health",2
"first,vitamins",2
"drug,shit",2
"health,honed",2
"concerning,drug",2
"health,s",2
"cancer,institute",2
"health,make",2
"drug,needles",2
"drug,major",2
"drug,like",2
"health,medical",2
"first,ppl",2
"cancer,documentary",2
"first,tan",2
"decide,women",2
"come,women",2
"bear,health",2
"first,hyungnim",2
"first,today",2
"clinic,filmscene",2
"first,got",2
"clinic,iowa",2
"first,found",2
"clinic,marks",2
"clinic,mini",2
"health,issue",2
"health,topic",2
"explodes,women",2
"cancer,t",2
"band,drug",2
"health,thank",2
"first,game",2
"basically,first",2
"engineered,first",2
"diabetes,years",2
"gospel,women",2
"health,network",2
"cancer,se",2
"proclaim,women",2
"atlas,health",2
"cancer,satan",2
"babies,health",2
"ban,cancer",2
"babies,women",2
"awareness,women",2
"women,young",2
"abuse,drug",2
"cancer,sharethelove",2
"around,drug",2
"day,first",2
"cancer,strong",2
"please,women",2
"proportion,women",2
"brother,diabetes",2
"reach,women",2
"diabetes,stopped",2
"diabetes,people",2
"cancer,ka",2
"building,drug",2
"event,women",2
"specifically,women",2
"cancer,murdered",2
"also,women",2
"day,women",2
"days,women",2
"cancer,league",2
"cancer,infants",2
"cancer,grammy",2
"social,women",2
"even,first",2
"diabetes,hiv",2
"cancer,immune",2
"cancer,irsicaixa",2
"news,women",2
"bhai,cancer",2
"cancer,women",2
"drug,holy",2
"d**k,women",2
"health,tip",2
"cancer,making",2
"health,working",2
"health,trump",2
"cancer,hua",2
"drug,stores",2
"care,first",2
"imagine,women",2
"percent,women",2
"cancer,everyone",2
"looking,women",2
"contact,women",2
"cancer,daylight",2
"cancer,etc",2
"christ,women",2
"acc,health",2
"tedxwomen,women",1
"bls,first",1
"many,women",1
"health,true",1
"health,valid",1
"relationships,women",1
"rate,women",1
"health,southern",1
"health,spreads",1
"health,started",1
"addiction,drug",1
"naked,women",1
"brings,first",1
"multiple,women",1
"women,yet",1
"health,sexual",1
"aidssupport,health",1
"aids,flu",1
"air,diabetes",1
"actually,health",1
"instead,women",1
"health,traffic",1
"representatives,women",1
"tortures,women",1
"weinstein,women",1
"attributed,drug",1
"lei,women",1
"accessible,health",1
"reports,women",1
"manhattan,women",1
"health,western",1
"health,stories",1
"w,women",1
"health,std",1
"and,drug",1
"agree,doctor",1
"binger,women",1
"brown,first",1
"f,health",1
"health,real",1
"discovere,first",1
"first,leading",1
"drug,fake",1
"doctor,today",1
"doctor,hiv",1
"first,ouch",1
"first,owl",1
"first,park",1
"first,portion",1
"disease,women",1
"first,purpose",1
"drug,loved",1
"first,raise",1
"first,scientists",1
"first,shit",1
"diet,health",1
"diagnose,doctor",1
"first,story",1
"diabetes,dirty",1
"first,supports",1
"first,symp",1
"drug,importantly",1
"first,large",1
"ca,health",1
"first,inventou",1
"first,football",1
"first,fully",1
"first,heads",1
"episode,first",1
"ela,first",1
"first,honestly",1
"first,however",1
"edition,health",1
"first,important",1
"eases,health",1
"drug,option",1
"first,itll",1
"drug,year",1
"drug,want",1
"drug,take",1
"drug,substance",1
"drug,scrip",1
"drug,resistant",1
"drug,points",1
"drug,plus",1
"first,tip",1
"cuz,first",1
"first,transmitted",1
"cancer,pragya",1
"health,knowledge",1
"health,living",1
"cancer,social",1
"health,lunch",1
"cancer,sex",1
"cancer,seguem",1
"cancer,researched",1
"health,many",1
"cancer,pwd",1
"cancer,one",1
"first,updated",1
"health,medicare",1
"cancer,joe",1
"cancer,gusiis",1
"cancer,get",1
"health,news",1
"cancer,fighting",1
"cancer,death",1
"health,rate",1
"cancer,characterized",1
"cancer,vai",1
"health,juice",1
"extension,health",1
"health,istreal",1
"cute,first",1
"first,wh",1
"continues,first",1
"community,first",1
"flu,months",1
"flu,nodes",1
"flu,yrs",1
"front,health",1
"clinic,today",1
"clinic,see",1
"clinic,operated",1
"health,healthy_life_plus",1
"health,hot",1
"clinic,keenan",1
"clinic,got",1
"clinic,else",1
"city,doctor",1
"case,first",1
"care,clinic",1
"accidents,diabetes",1
"first,germs",1
"allege,drug",1
"drug,infection",1
"clas,health",1
"clears,drug",1
"clinic,t",1
"coast,first",1
"colored,first",1
"combat,drug",1
"contracting,first",1
"controlled,drug",1
"correct,drug",1
"councilmen,women",1
"countless,women",1
"death,first",1
"delivery,health",1
"dementia,health",1
"demonstration,health",1
"dettol,first",1
"diabetes,die",1
"diabetes,early",1
"didnt,drug",1
"doctor,doctors",1
"doctor,hi",1
"doctor,kevin",1
"doctor,naturopath",1
"doctor,office",1
"doctor,uncle",1
"documents,health",1
"dpc,first",1
"dramatic,first",1
"dropping,first",1
"city,clinic",1
"chicago,health",1
"chemo,women",1
"cancer,fala",1
"argue,clinic",1
"atlanta,flu",1
"away,first",1
"bar,women",1
"bear,women",1
"bit,women",1
"bodies,women",1
"break,health",1
"cancer,choosing",1
"cancer,clarify",1
"cancer,clean",1
"cancer,combat",1
"cancer,desse",1
"cancer,finding",1
"cancer,via",1
"cancer,h",1
"cancer,media",1
"cancer,negligence",1
"cancer,nigga",1
"cancer,patient",1
"cancer,purpose",1
"cancer,see",1
"cancer,stress",1
"cancer,tb",1
"cancer,treating",1
"cancer,um",1
"cancer,unbearable",1
"cancer,vcs",1
"drug,felony",1
"drug,know",1
"among,drug",1
"drug,promise",1
"first,vinchi",1
"first,wanted",1
"flu,free",1
"four,women",1
"g,women",1
"ge,health",1
"health,id",1
"health,innovators",1
"health,keep",1
"health,like",1
"health,maines",1
"health,number",1
"health,peaceful",1
"health,primm",1
"health,red",1
"health,social",1
"health,stigma",1
"health,student",1
"health,viewers",1
"heard,women",1
"killer,women",1
"malaria,women",1
"morrison,women",1
"personal,women",1
"preferen,women",1
"presidential,women",1
"revolution,women",1
"severe,women",1
"way,women",1
"first,universes",1
"first,telly",1
"first,symptoms",1
"first,hopeless",1
"drug,rampant",1
"drug,scientif",1
"except,first",1
"first,fizz",1
"first,fl",1
"first,forgetful",1
"first,freaking",1
"first,funds",1
"first,gandhi",1
"first,gmhc",1
"first,goodn",1
"first,grid",1
