Word,Count
"cancer,trump",146
"cancer,de",125
"cancer,presidency",113
"cancer,conway",109
"cancer,congress",97
"cancer,george",96
"cancer,s",95
"cancer,remove",89
"cancer,rso",88
"breakfast,cancer",87
"cancer,cbdoil",85
"cancer,like",84
"breast,cancer",79
"cancer,oil",74
"&,cancer",66
"cancer,im",66
"cancer,sa",65
"cancer,mother",65
"amp,cancer",63
"cancer,one",62
"cancer,n",61
"cancer,el",60
"cancer,people",57
"cancer,t",56
"cancer,pure",54
"cancer,rick",54
"cancer,whats",53
"cancer,que",53
"cancer,simpsons",52
"cancer,get",52
"allure,cancer",51
"cancer,organic",51
"cancer,lung",51
"cancer,product",51
"cancer,ea",51
"cancer,moon",50
"cancer,patients",48
"cancer,na",47
"cancer,risk",46
"cancer,la",46
"cancer,sun",45
"cancer,cause",44
"cancer,un",43
"cancer,know",43
"cancer,help",43
"cancer,cure",37
"cancer,treatment",37
"cancer,life",36
"cancer,study",35
"cancer,day",35
"cancer,may",35
"cancer,new",35
"cancer,got",34
"cancer,friend",34
"cancer,le",34
"cancer,health",34
"cancer,en",34
"cancer,dont",33
"cancer,mga",33
"cancer,rising",32
"cancer,es",32
"cancer,good",31
"cancer,women",30
"cancer,someone",29
"cancer,m",29
"cancer,us",29
"cancer,time",29
"calls,cancer",28
"cancer,taurus",28
"cancer,via",28
"cancer,ko",27
"cancer,man",27
"cancer,u",27
"cancer,post",27
"cancer,cannabis",26
"cancer,stage",26
"cancer,fight",26
"cancer,love",26
"cancer,died",26
"cancer,well",26
"cancer,leo",26
"cancer,every",26
"cancer,woman",25
"cancer,ml",25
"cancer,diagnosed",25
"cancer,ka",25
"cancer,says",25
"cancer,mom",25
"april,cancer",25
"cancer,never",24
"blood,cancer",24
"cancer,scorpio",24
"cancer,support",24
"cancer,first",24
"cancer,lost",24
"cancer,family",24
"cancer,world",24
"cancer,stop",23
"cancer,se",23
"cancer,virgo",23
"cancer,research",23
"cancer,really",23
"cancer,opinion",23
"cancer,want",23
"brain,cancer",23
"cancer,might",23
"cancer,year",22
"cancer,years",22
"cancer,go",22
"cancer,found",22
"bacon,cancer",22
"cancer,prostate",21
"cancer,would",21
"cancer,fuck",21
"bowel,cancer",21
"cancer,e",21
"ass,cancer",21
"c,cancer",21
"cancer,today",21
"cancer,society",21
"cancer,op",20
"also,cancer",20
"cancer,need",20
"bring,cancer",20
"cancer,dad",20
"cancer,surgery",20
"best,cancer",20
"cancer,heart",20
"cancer,skin",20
"cancer,para",20
"cancer,ed",19
"cancer,give",19
"cancer,washington",19
"cancer,kellyanne",19
"cancer,even",19
"cancer,children",19
"cancer,husband",19
"cancer,care",19
"cancer,eating",19
"ako,cancer",19
"cancer,por",19
"cancer,without",18
"cancer,pisces",18
"cancer,disease",18
"cancer,death",18
"cancer,son",18
"cancer,men",18
"cancer,could",18
"cancer,closer",18
"cancer,going",17
"cancer,colon",17
"cancer,use",17
"cancer,please",17
"ang,cancer",17
"aries,cancer",17
"cancer,worst",17
"cancer,linked",17
"cancer,colorectal",17
"cancer,daming",17
"cancer,news",16
"cancer,diabetes",16
"cancer,terminal",16
"cancer,ive",16
"cancer,pero",16
"cancer,much",16
"cancer,lol",16
"background,cancer",16
"cancer,similarities",16
"cancer,great",16
"cancer,cells",16
"cancer,see",16
"cancer,die",16
"cancer,mo",16
"cancer,old",16
"cancer,home",16
"cancer,treat",16
"cancer,ya",16
