Word,Count
"flu,season",374
"flu,longest",247
"decade,flu",206
"flu,que",177
"e,flu",168
"flu,got",166
"flu,get",166
"de,flu",165
"flu,like",165
"flu,wave",154
"flu,two",147
"flu,im",140
"flu,us",113
"flu,n",108
"flu,s",104
"flu,sick",100
"flu,stomach",95
"cold,flu",89
"flu,na",87
"flu,time",81
"flu,shot",77
"cdc,flu",77
"flu,t",76
"&,flu",74
"flu,says",71
"com,flu",67
"eu,flu",66
"flu,getting",65
"flu,se",64
"flu,man",64
"feel,flu",62
"amp,flu",62
"flu,still",61
"flu,x",61
"flu,q",60
"flu,year",60
"flu,um",60
"flu,week",59
"em,flu",58
"flu,second",57
"fla,flu",57
"flu,really",57
"flu,mas",55
"flu,one",55
"day,flu",54
"da,flu",53
"flu,going",53
"flu,pra",51
"flu,m",50
"bad,flu",49
"flu,think",48
"better,flu",47
"flu,jogo",47
"flu,ive",47
"flu,tem",46
"flu,weeks",46
"flu,pelo",44
"ele,flu",44
"flu,good",44
"flu,mais",43
"flu,last",43
"flu,years",42
"flu,go",42
"flu,swine",42
"back,flu",42
"camisa,flu",40
"flu,hope",40
"flu,viral",39
"dont,flu",39
"flu,surprising",39
"flu,record",39
"flu,shots",38
"flu,vaccine",38
"flu,today",38
"flu,people",37
"flu,work",36
"flu,game",36
"flu,foi",35
"days,flu",35
"flu,via",34
"flu,need",34
"breaking,flu",34
"flu,oh",34
"duration,flu",33
"flu,os",33
"ago,flu",33
"flu,know",32
"flu,since",32
"flu,para",31
"flu,ser",31
"flu,vai",31
"around,flu",30
"flu,j",30
"bed,flu",30
"first,flu",30
"flu,never",30
"fever,flu",29
"due,flu",29
"every,flu",28
"flu,want",28
"flu,would",28
"flu,well",28
"flu,meu",28
"flu,ve",27
"flu,p",27
"flu,terms",27
"flu,virus",27
"flu,months",27
"flu,uma",27
"cant,flu",27
"flu,made",27
"also,flu",27
"flu,por",27
"flu,u",26
"flu,health",26
"flu,many",26
"flu,thing",26
"caught,flu",26
"flu,mild",25
"flu,take",25
"flu,pro",25
"even,flu",25
"flu,muito",25
"flu,soon",25
"flu,right",25
"flu,weekend",25
"catch,flu",25
"flu,make",24
"flu,three",23
"flu,lol",23
"flu,nova",23
"flu,pedro",23
"flu,santa",23
"flu,gon",23
"flu,news",23
"flu,lagi",22
"flu,thought",22
"flu,sure",22
"damn,flu",22
"flu,re",21
"bird,flu",21
"easter,flu",21
"die,flu",21
"flu,new",21
"contra,flu",21
"flu,vou",21
"c,flu",20
"flu,home",20
"flu,next",20
"flu,shit",20
"come,flu",20
"flu,ya",20
"away,flu",20
"ca,flu",20
"flu,ta",20
"flu,something",19
"aku,flu",19
"flu,night",19
"flu,fucking",19
"flu,thank",19
"flu,short",19
"essa,flu",19
"flu,gol",19
"flu,isso",18
"activity,flu",18
"flu,worse",18
"flu,hit",18
"flu,way",18
"flu,might",18
"always,flu",18
"flu,sleep",18
"flu,life",18
"flu,ver",18
"everaldo,flu",18
"flu,ter",17
"flu,infection",17
"flu,government",17
"flu,symptoms",17
"flu,nada",17
"flu,shaping",17
"flu,help",17
"flu,long",17
"body,flu",17
"flu,la",17
"flu,vasco",17
"flu,see",17
"doctor,flu",16
"era,flu",16
"bitch,flu",16
"flu,gets",16
"finally,flu",16
"flu,much",16
"flu,trying",16
"flu,may",16
"flu,mau",16
"flu,give",16
"ao,flu",16
"feeling,flu",16
"could,flu",16
"flu,gone",16
"flu,ill",16
"flu,throat",16
"flu,jordan",16
"coming,flu",16
"como,flu",16
"flu,great",16
"flu,keep",16
"done,flu",15
"flu,morning",15
"flu,jogadores",15
"died,flu",15
"flu,started",15
"flu,volta",15
"flu,jogos",15
"flu,fuck",15
"care,flu",15
"flu,pode",15
"flu,tempo",15
"colds,flu",15
"bug,flu",15
"far,flu",15
"flu,torcida",15
"flu,l",15
"flu,ir",15
"flu,love",15
"flu,old",15
"batuk,flu",15
"flu,please",15
"flu,nem",14
"flu,sakit",14
"dying,flu",14
"flu,worst",14
"current,flu",14
"flu,happy",14
"flu,let",14
"flu,tomorrow",14
"flu,immune",14
"flu,times",14
"flu,kind",14
"flu,fred",14
"b,flu",14
"flu,youre",14
"flu,queria",14
"flu,wav",14
"bc,flu",14
"flu,say",14
"flu,said",14
"dan,flu",14
"flu,yet",14
"flu,sucks",14
"brasileiro,flu",14
"flu,food",13
"flu,gotten",13
"air,flu",13
"cara,flu",13
"flu,w",13
"dia,flu",13
"flu,ok",13
"flu,nos",13
"flu,seen",13
"flu,keto",13
"flu,sou",13
"cbs,flu",13
"based,flu",13
"cruz,flu",13
"anyone,flu",13
"flu,system",13
"agora,flu",12
"flu,gt",12
"esse,flu",12
"felt,flu",12
"flu,mi",12
"flu,th",12
"cough,flu",12
"flu,real",12
"ada,flu",12
"ass,flu",12
"flu,gak",12
"flu,ini",12
"flu,mom",12
"case,flu",12
"ainda,flu",12
"flu,havent",12
"flu,wan",12
"deaths,flu",12
"flu,gave",12
"eat,flu",12
"flu,thats",12
"flu,young",12
"best,flu",12
"elevated,flu",12
"demais,flu",12
"flu,kill",12
"flu,tonight",12
"comprar,flu",12
"flu,winter",12
"dos,flu",11
"came,flu",11
"flu,working",11
"flu,influenza",11
"brasil,flu",11
"flu,te",11
"flu,fluminense",11
"flu,ni",11
"di,flu",11
"blusa,flu",11
"didnt,flu",11
"flu,udah",11
"flu,tell",11
"flu,voc",11
"adecade,flu",11
"flu,officially",11
"flu,hoje",11
"flu,ke",11
"flu,lo",11
"flu,makes",11
"flu,nose",11
"flu,meds",11
"cnn,flu",11
"flu,someone",11
"acho,flu",11
"flu,sorry",11
"flu,late",11
"flu,strep",11
"flu,pq",11
"flu,literally",11
"everyone,flu",11
"flu,st",10
"flu,tracking",10
"flu,sore",10
"everything,flu",10
"bgt,flu",10
"flu,turns",10
"ever,flu",10
"flu,maybe",10
"flu,vem",10
"flu,little",10
"diniz,flu",10
"first,time",10
"flu,heart",10
"currently,flu",10
"bem,flu",10
"flu,yes",10
"flu,ga",10
"actually,flu",10
"bisa,flu",10
"aqui,flu",10
"demam,flu",10
"flu,linda",10
"flu,sobre",10
"flu,kena",10
"feels,flu",10
"flu,parabns",10
"flu,pls",10
"flu,quando",10
"flu,world",10
"flu,top",10
"flu,vaccines",10
"flu,total",10
"flu,maracan",10
"flu,pneumonia",9
"flu,haha",9
"flu,guess",9
"flu,maraca",9
"flu,look",9
"flu,girl",9
"flu,nothing",9
"flu,h",9
"flu,head",9
"depois,flu",9
"flu,ganhou",9
"flu,pela",9
"flu,vitria",9
"among,flu",9
"bro,flu",9
"flu,read",9
"flu,stay",9
"flu,tapi",9
"flu,primeiro",9
"baby,flu",9
"coughing,flu",9
"believe,flu",9
"flu,whole",9
"flu,stop",9
"flu,minha",9
"flu,quero",9
"flu,later",9
"flu,kan",9
"flu,tudo",9
"flu,id",9
"flu,rn",9
"flu,maior",9
"bom,flu",9
"flu,pandemic",9
"flu,joga",9
"data,flu",9
"flu,wow",9
"flu,vc",9
"flu,left",9
"flu,jab",9
"flu,measles",9
"flu,thanks",9
"flu,told",9
"flu,hospital",8
"flu,hj",8
"flu,lot",8
"atlanta,flu",8
"death,flu",8
"flu,nike",8
"flu,ugh",8
"flu,house",8
"flu,spanish",8
"flu,jadi",8
"flu,fuki",8
"flu,managed",8
"flu,illness",8
"flu,high",8
"flu,suffering",8
"flu,yo",8
"campeo,flu",8
"flu,obat",8
"ficar,flu",8
"flu,sembuh",8
"anos,flu",8
"flu,ll",8
"badan,flu",8
"flu,wish",8
"flu,less",8
"flu,retro",8
"flu,update",8
"flu,fora",8
"break,flu",8
"flu,report",8
"family,flu",8
"fish,flu",8
"doesnt,flu",8
"flu,seems",8
"flu,forget",8
"flu,seasons",8
"deus,flu",8
"flu,hari",8
"flu,official",8
"flu,super",8
"end,flu",8
"flu,tu",8
"flamengo,flu",8
"flu,talking",8
"fez,flu",8
"flu,pilek",8
"aquele,flu",8
"assim,flu",8
"dog,flu",8
"feliz,flu",8
"allergies,flu",8
"flu,headache",8
"flu,melhor",8
"flu,glad",8
"coisa,flu",8
"deu,flu",8
"flu,went",8
"flu,woke",8
"flu,teve",8
"flu,god",8
"awful,flu",8
"flu,kids",8
"common,flu",8
"flu,show",8
"flu,size",8
"chocolate,flu",8
"flu,mesmo",8
"copa,flu",8
"flu,yang",8
"flu,g",8
"flu,yesterday",7
"flu,watch",7
"flu,voice",7
"flu,tinha",7
"flu,reported",7
"flu,hour",7
"flu,yall",7
"flu,juga",7
"flu,stuck",7
"flu,taking",7
"april,flu",7
"flu,ou",7
"aja,flu",7
"flu,pouco",7
"flu,used",7
"flu,vs",7
"flu,ye",7
"flu,tp",7
"flu,states",7
"change,flu",7
"flu,thinks",7
"flu,garlic",7
"d,flu",7
"flu,v",7
"flu,pretty",7
"flu,tho",7
"flu,state",7
"flu,voltou",7
"flu,gols",7
"flu,point",7
"ano,flu",7
"flu,sama",7
"bola,flu",7
"flu,turned",7
"flu,period",7
"flu,grande",7
"flu,sickness",7
"flu,tak",7
"flu,toda",7
"bikin,flu",7
"flu,perde",7
"con,flu",7
"flu,play",7
"flu,friends",7
"flu,hard",7
"flu,wake",7
"flu,hate",7
"flu,viruses",7
"flu,rest",7
"flu,hes",7
"flu,medicine",7
"flu,hours",7
"flu,yg",7
"flu,kicking",7
"flu,free",7
"flu,okay",7
"flu,tired",7
"flu,hot",7
"flu,ha",7
"flu,quickly",7
"causes,flu",7
"flu,scam",7
"+,flu",7
"flu,killing",7
"flu,fun",7
"flu,padahal",7
"flu,nice",7
"flu,sei",7
"flu,quem",7
"annoying,flu",7
"fazer,flu",7
"crianas,flu",7
"flu,ganso",7
"anak,flu",7
"flu,predict",7
"already,flu",7
"flu,ttulo",7
"flu,sub",7
"flu,nosso",7
"flu,seem",7
"cases,flu",7
"flu,summer",6
"flu,recover",6
"flu,respiratory",6
"flu,things",6
"amigo,flu",6
"flu,swear",6
"flu,goes",6
"akhirnya,flu",6
"flu,viu",6
"flu,mask",6
"early,flu",6
"flu,sneezing",6
"dad,flu",6
"flu,sim",6
"flu,kick",6
"flu,legit",6
"flu,quer",6
"flu,past",6
"flu,water",6
"flu,weight",6
"depression,flu",6
"flu,remedy",6
"flu,mal",6
"flu,mt",6
"dr,flu",6
"flu,kkkkk",6
"flu,radang",6
"flu,imma",6
"flu,nak",6
"flu,mad",6
"flu,lmao",6
"flu,ice",6
"flu,whats",6
"ear,flu",6
"flu,tricolor",6
"flu,fluseason",6
"flu,weather",6
"cure,flu",6
"definitely,flu",6
"flu,jogar",6
"feira,flu",6
"flu,kalau",6
"ah,flu",6
"aint,flu",6
"available,flu",6
"chest,flu",6
"fala,flu",6
"flu,mine",6
"flu,joke",6
"good,health",6
"flu,gini",6
"flu,vitamin",6
"flu,vaccination",6
"estdio,flu",6
"flu,wrong",6
"flu,school",6
"flu,pegar",6
"flu,gosto",6
"flu,gfpa",6
"flu,hands",6
"flu,full",6
"flu,fucked",6
"flu,patients",6
"birthday,flu",6
"flu,ready",6
"flu,mano",6
"flu,tv",6
"bit,flu",6
"flu,grinding",6
"flu,udh",6
"drinking,flu",6
"flu,ia",6
"flu,media",6
"flu,kalo",6
"flu,spring",6
"flu,lets",6
"apa,flu",6
"estadual,flu",6
"flu,gilberto",6
"cnnisfakenews,flu",6
"flu,son",6
"flu,friday",6
"flu,vaccinated",6
"en,flu",6
"flu,recovering",6
"final,flu",6
"flu,wtf",6
"flu,sempre",6
"fight,flu",6
"flu,nasty",6
"algum,flu",6
"flu,thot",6
"falar,flu",6
"called,flu",6
"flu,nas",6
"estimates,flu",6
"black,flu",6
"flu,laying",6
"flu,uns",6
"flu,ko",6
"flu,prevent",6
"flu,sem",6
"flu,wonder",6
"flu,lah",6
"flu,gosta",6
"amazing,flu",6
"flu,kkkk",5
"flu,futebol",5
"flu,spend",5
"flu,kid",5
"flu,saturday",5
"flu,poisoning",5
"baru,flu",5
"ended,flu",5
"flu,po",5
"flu,post",5
"flu,running",5
"car,flu",5
"emg,flu",5
"flu,saying",5
"flu,mesma",5
"flu,ten",5
"flu,mum",5
"apparently,flu",5
"del,flu",5
"else,flu",5
"flu,protect",5
"flu,malem",5
"flu,spreading",5
"flu,story",5
"flu,remember",5
"flu,tau",5
"episode,flu",5
"espero,flu",5
"big,flu",5
"confirmed,flu",5
"flu,tb",5
"another,flu",5
"flu,todo",5
"flu,voltar",5
"banget,flu",5
"favorite,flu",5
"amigos,flu",5
"flu,vez",5
"ama,flu",5
"enquanto,flu",5
"flu,tnb",5
"flu,rid",5
"flu,took",5
"flu,una",5
"cmg,flu",5
"algumas,flu",5
"flu,takes",5
"flu,mim",5
"flu,tried",5
"flu,sair",5
"flu,friend",5
"flu,triste",5
"flu,jogador",5
"disease,flu",5
"china,flu",5
"flu,parte",5
"est,flu",5
"flu,sound",5
"flu,vezes",5
"flu,vi",5
"etc,flu",5
"flu,watching",5
"flu,yeah",5
"health,season",5
"flu,volume",5
"flu,throughout",5
"flu,saber",5
"boss,flu",5
"flu,probably",5
"dois,flu",5
"flu,tips",5
"dele,flu",5
"course,flu",5
"flu,instead",5
"flu,jangan",5
"flu,metade",5
"flu,history",5
"flu,nobody",5
"flu,karena",5
"flu,keeps",5
"flu,possibly",5
"flu,killed",5
"flu,taubat",5
"flu,knocked",5
"flu,fotos",5
"flu,team",5
"flu,though",5
"cry,flu",5
"@,flu",5
"flu,release",5
"flu,holiday",5
"cool,flu",5
"chance,flu",5
"flu,quick",5
"dizem,flu",5
"flu,non",5
"flu,ketularan",5
"flu,pain",5
"flu,kamu",5
"flu,minum",5
"flu,tava",5
"flu,ne",5
"dear,flu",5
"flu,soup",5
"flu,tanto",5
"fighting,flu",5
"flu,wondering",5
"flu,luciano",5
"flu,start",5
"flu,gente",5
"flu,mother",5
"flu,ontem",5
"der,flu",5
"flu,hoping",5
"flu,month",5
"flu,hopefully",5
"dose,flu",5
"flu,healthy",5
"flu,panas",5
"boa,flu",5
"flu,ja",5
"flu,hello",5
"flu,quiser",5
"flu,pena",5
"flu,sadness",5
"flu,vantagem",5
"flu,often",5
"flu,pay",5
"either,flu",5
"cause,flu",5
"flu,urgent",5
"flu,google",5
"flu,pusing",5
"flu,others",5
"flu,passed",5
"flu,seja",5
"flu,grief",5
"flu,papa",5
"contrato,flu",5
"flu,santos",5
"flu,nesse",5
"flu,march",5
"flu,tbm",5
"flu,pork",5
"flu,terrible",5
"cures,flu",5
"flu,fui",5
"enough,flu",5
"flu,red",5
"flu,salrio",5
"flu,supposed",5
"flu,pero",5
"flu,grateful",5
"flu,loves",4
"flu,r",4
"flu,makan",4
"ficou,flu",4
"alm,flu",4
"flu,without",4
"flu,playing",4
"flu,ur",4
"flu,walk",4
"almost,flu",4
"flu,vaccinations",4
"flu,upper",4
"flu,vamos",4
"flu,mood",4
"flu,gejala",4
"ento,flu",4
"flu,tests",4
"flu,smh",4
"flu,half",4
"flu,ones",4
"flu,vida",4
"flu,heavy",4
"flu,mexican",4
"flu,starting",4
"ad,flu",4
"dreams,flu",4
"flu,pa",4
"flu,hell",4
"flu,rio",4
"flu,tirou",4
"chicken,flu",4
"cidade,flu",4
"clinic,flu",4
"bukan,flu",4
"flu,related",4
"flu,penyakit",4
"falta,flu",4
"faz,flu",4
"flu,seeing",4
"doctor,mickey",4
"flu,low",4
"boyfriend,flu",4
"flu,sport",4
"flu,va",4
"flu,verdade",4
"flu,recovery",4
"flu,refuse",4
"flu,ppl",4
"flu,pnalti",4
"flu,tiny",4
"flu,miss",4
"flu,tf",4
"flu,happen",4
"flu,fru",4
"flu,ruim",4
"flu,tidur",4
"flu,nossa",4
"flu,foram",4
"avoid,flu",4
"flu,torcedor",4
"control,flu",4
"flu,outbreak",4
"flu,guy",4
"flu,treating",4
"awesome,flu",4
"flu,nurses",4
"flu,guys",4
"bener,flu",4
"flu,sa",4
"flu,grana",4
"dude,flu",4
"flu,pregnant",4
"flu,president",4
"flu,prevention",4
"flu,ginger",4
"crazy,flu",4
"flu,whether",4
"flu,minggu",4
"exhausted,flu",4
"flu,jogou",4
"bu,flu",4
"flu,isnt",4
"flu,inter",4
"flu,spread",4
"flu,husband",4
"alone,flu",4
"flu,hurts",4
"flu,laranjeiras",4
"flu,leave",4
"flu,helped",4
"flu,les",4
"flu,hear",4
"es,flu",4
"flu,tambm",4
"flu,lost",4
"flu,tenggorokan",4
"flu,hn",4
"contagious,flu",4
"flu,sounds",4
"flu,gue",4
"flu,remedies",4
"everybody,flu",4
"emma,flu",4
"fault,flu",4
"dah,flu",4
"crap,flu",4
"flu,terkena",4
"flu,terus",4
"continue,flu",4
"flu,tha",4
"flu,women",4
"douglas,flu",4
"flu,novo",4
"flu,till",4
"flu,wont",4
"flu,todos",4
"flu,trade",4
"flu,single",4
"flu,usa",4
"flu,yep",4
"catching,flu",4
"chocolates,flu",4
"flu,var",4
"flu,vcs",4
"dropping,flu",4
"flu,yrs",4
"flu,wife",4
"bring,flu",4
"corinthians,flu",4
"flu,third",4
"flu,thinking",4
"different,flu",4
"flu,type",4
"dulu,flu",4
"duas,flu",4
"flu,waves",4
"flu,reason",4
"decade,health",4
"eleies,flu",4
"flu,remix",4
"blown,flu",4
"flu,vdd",4
"estou,flu",4
"flu,taken",4
"flu,skyrockets",4
"deve,flu",4
"eles,flu",4
"flu,social",4
"difcil,flu",4
"dinheiro,flu",4
"el,flu",4
"flu,suddenly",4
"cuz,flu",4
"flu,white",4
"flu,kelvin",4
"flu,sunday",4
"bota,flu",4
"flu,plague",4
"flu,sis",4
"flu,sinus",4
"bruh,flu",4
"flu,kebanyakan",4
"flu,kkkkkkkkkk",4
"flu,sdds",4
"flu,looking",4
"flu,seminggu",4
"flu,poor",4
"afternoon,flu",4
"flu,rough",4
"amor,flu",4
"all,flu",4
"flu,kasian",4
"flu,lateral",4
"bronchitis,flu",4
"flu,learning",4
"flu,quit",4
"caused,flu",4
"cdd,flu",4
"atr,flu",4
"coachella,flu",4
"flu,siz",4
"flu,rates",4
"complications,flu",4
"acepto,flu",4
"flu,mundial",4
"flu,mto",4
"flu,lose",4
"flu,mostly",4
"flu,visit",4
"chamou,flu",4
"cancer,flu",4
"flu,waiting",4
"flu,walking",4
"flu,leads",4
"flu,whoever",4
"flu,support",4
"flu,least",4
"flu,rs",4
"flu,y",4
"flu,rompi",4
"health,issues",4
"health,longest",4
"flu,runny",4
"absolutely,flu",4
"able,flu",4
"flu,possible",4
"flu,klo",4
"flu,kkk",4
"flu,fosse",4
"berat,flu",4
"flu,miserable",4
"flu,illnesses",4
"flu,natural",4
"flu,insane",4
"first,im",4
"flu,imagine",4
"flu,spending",4
"flu,making",4
"flu,live",4
"flu,nya",4
"flu,middle",4
"flu,listen",4
"bonita,flu",4
"flu,stand",4
"flu,reports",4
"flu,lil",4
"flu,huh",4
"flu,options",4
"flu,lemon",4
"flu,happening",4
"flu,hits",4
"dead,flu",4
"ela,flu",4
"dari,flu",4
"flu,orang",4
"crisis,flu",4
"cruzeiro,flu",4
"flu,si",4
"flu,nurse",4
"flu,pasa",4
"daily,flu",4
"flu,normal",4
"antibiotic,flu",4
"decided,flu",4
"doctor,go",4
"flu,passar",4
"flu,pass",4
"conta,flu",4
"flu,sign",4
"flu,mo",4
"flu,whatever",4
"flu,million",4
"events,flu",4
"flu,york",3
"cabofriense,flu",3
"busy,flu",3
"campo,flu",3
"find,flu",3
"flu,seaso",3
"flu,sekali",3
"flu,mj",3
"flu,olmu",3
"flu,heard",3
"bradentonherald,flu",3
"flu,games",3
"flu,looks",3
"flu,pharmacy",3
"flu,likely",3
"flu,put",3
"flu,pessoas",3
"flu,querendo",3
"flu,kemarin",3
"flu,k",3
"flu,je",3
"flu,jam",3
"flu,itu",3
"antes,flu",3
"flu,magazine",3
"aquela,flu",3
"flu,parecia",3
"flu,impossible",3
"flu,posso",3
"health,wave",3
"health,two",3
"flu,hurt",3
"flu,historia",3
"flu,pada",3
"basically,flu",3
"flu,round",3
"flu,meningitis",3
"flu,meriang",3
"flu,sad",3
"flu,goal",3
"flu,order",3
"a,flu",3
"dar,flu",3
"flu,nausea",3
"extra,flu",3
"flu,move",3
"flu,mulai",3
"flu,name",3
"flu,nursing",3
"flu,nyquil",3
"first,get",3
"fine,flu",3
"first,think",3
"flu,pharmacies",3
"flu,turn",3
"flu,germs",3
"fewer,flu",3
"flu,puking",3
"esses,flu",3
"fato,flu",3
"fatigue,flu",3
"flu,realized",3
"fam,flu",3
