Word,Count
elsevier,31063
article,30231
data,26256
research,25165
journal,24655
information,18129
please,14709
visit,14682
use,14239
published,13704
author,12888
access,12368
cookies,12231
open,12215
authors,11692
page,11263
sjr,10559
help,10343
may,10316
used,10311
submission,10297
learn,10280
reference,10143
manuscript,9808
publication,9733
content,9662
impact,9621
citations,9509
time,9438
researchers,8469
review,8422
solutions,8304
policy,8154
terms,7968
copyright,7775
paper,7449
number,7403
text,7291
snip,7272
journals,7081
including,7018
s,6970
new,6828
site,6775
based,6745
survey,6744
provided,6541
available,6378
also,6246
services,6243
first,6203
accounting,6154
editor,6116
accepted,6072
service,6018
work,5990
find,5970
support,5957
articles,5818
decline,5509
improve,5384
ensure,5334
rank,5307
source,5231
list,5106
make,5049
website,5045
free,5035
mendeley,5027
include,5024
online,4997
complete,4935
issues,4916
type,4912
files,4871
peer,4837
must,4766
process,4750
provide,4726
system,4668
third,4658
sciencedirect,4619
link,4567
account,4564
references,4560
details,4524
ways,4424
check,4369
product,4368
relevant,4335
field,4333
like,4283
publishing,4267
submit,4183
citation,4135
always,4135
provides,4106
status,4096
share,4091
certain,4068
funding,4031
products,4007
via,3910
&,3879
browser,3860
except,3859
need,3840
volumes,3838
experience,3821
end,3811
one,3807
address,3781
e,3772
would,3770
personal,3724
customer,3715
short,3694
advance,3690
looking,3686
abstract,3656
title,3645
management,3587
using,3492
ask,3481
completed,3470
parties,3463
conditions,3423
similar,3417
directly,3389
fill,3359
decide,3349
track,3346
read,3319
sitemap,3284
following,3269
brief,3262
subject,3237
privacy,3228
electronic,3211
version,3173
material,3162
file,3108
participate,3108
decision,3095
conditionsprivacy,3093
questionnaire,3092
scopus,3044
thanks,3037
tab,3037
moment,3037
visitor,3037
uses,3034
name,3026
see,3023
permission,3023
per,2980
full,2979
view,2968
submitted,2935
tables,2916
artwork,2892
science,2870
note,2853
follow,2840
measures,2840
given,2816
algorithm,2808
guide,2799
idea,2796
us,2784
search,2735
software,2721
qualitative,2712
