Word,Count
people,307
research,296
health,284
aids,177
time,164
first,157
times,139
women,138
years,133
clinic,129
work,128
world,111
treatment,109
one,107
even,106
president,102
school,101
life,92
doctors,87
want,87
think,86
show,86
still,83
day,79
know,78
drug,76
supported,76
house,74
old,73
patients,72
high,71
make,71
things,70
use,68
archived,68
might,68
american,68
virus,67
recording,67
children,66
states,66
right,65
men,65
well,65
united,64
case,61
government,61
good,60
black,59
percent,59
system,59
news,59
today,59
around,59
next,59
person,57
home,57
public,57
come,56
care,56
part,56
last,55
white,55
patient,55
help,54
michael,54
story,54
national,54
science,54
less,54
become,53
director,53
got,52
cure,52
according,52
book,52
thing,52
week,51
known,51
history,51
wrote,51
march,51
country,50
need,50
theres,50
family,50
man,50
city,50
always,50
dance,49
state,49
early,49
gay,48
political,48
another,48
away,48
didnt,48
human,48
twitter,48
find,48
really,47
including,47
youre,46
different,46
susan,46
little,46
making,46
million,45
far,45
often,45
trumps,45
second,45
almost,45
former,45
south,45
mother,44
without,44
young,44
look,44
future,44
border,44
theyre,43
group,43
film,43
fashion,43
whether,43
living,43
intelligence,43
found,43
death,43
immune,43
disease,42
infection,42
companies,42
came,42
least,42
wanted,42
body,41
heres,41
epidemic,41
end,41
felt,41
immigration,41
change,41
novel,41
north,41
born,40
best,40
read,40
society,40
woman,40
love,40
took,39
big,39
ago,39
set,39
company,39
months,39
feel,39
stories,39
information,38
started,38
kind,38
days,38
working,38
though,37
act,37
americans,37
taking,37
power,36
says,36
asked,36
past,36
five,36
officials,36
class,36
insurance,35
let,35
someone,35
control,35
put,35
war,35
give,35
father,35
better,34
social,34
movement,34
article,34
others,34
asylum,34
global,34
place,34
sex,34
yet,34
real,33
museum,33
international,33
music,33
interview,33
administration,33
month,33
list,33
brown,33
ever,33
email,32
live,32
sign,32
start,32
lives,32
talk,32
later,32
child,32
based,32
briefing,32
six,31
fight,31
prices,31
cured,31
parents,31
left,31
full,31
university,31
research,31
scientists,31
cancer,31
published,31
program,31
business,31
medical,31
hard,30
face,30
play,30
went,30
gum,30
instagram,30
daily,30
lot,30
however,30
smollett,30
tell,30
ive,30
private,30
given,30
among,30
great,30
open,30
industry,29
idea,29
money,29
keep,29
countries,29
nearly,29
makes,29
thought,29
began,29
center,29
shows,29
recent,29
relationship,29
became,29
cant,29
bone,29
london,29
died,29
facebook,28
use,28
doesnt,28
question,28
trying,28
media,28
technology,28
morning,28
free,28
whose,28
half,28
hear,28
saying,28
already,27
cells,27
must,27
small,27
example,27
across,27
legal,27
jackson,27
hope,27
near,27
moment,27
theater,27
number,27
problem,27
seems,27
kim,27
believe,27
late,27
true,27
joke,27
cut,27
students,27
head,27
several,27
data,27
done,27
century,27
enough,27
blood,26
getting,26
food,26
modern,26
worlds,26
word,26
comes,26
wasnt,26
friends,26
plan,26
infected,26
announced,26
budget,26
within,26
single,26
support,26
marrow,26
written,26
rape,26
books,26
experts,26
self,26
traditional,25
medicare,25
womens,25
up,25
pay,25
author,25
sexual,25
added,25
night,25
organization,25
office,25
remains,25
cost,25
four,25
audience,25
worked,25
together,24
recently,24
job,24
climate,24
fall,24
fear,24
certain,24
e,24
section,24
action,24
seen,24
ones,24
security,24
form,24
helped,24
chief,24
female,24
everything,24
knew,24
back,24
taken,24
s,24
hair,24
economic,24
created,24
conference,24
street,24
bill,24
instead,24
senator,24
personal,24
san,24
members,24
attacks,23
reality,23
law,23
washington,23
likely,23
success,23
korea,23
similar,23
barbaro,23
workers,23
married,23
sure,23
coming,23
killed,23
happened,23
democratic,23
artists,23
saw,23
weeks,22
campaign,22
version,22
received,22
families,22
federal,22
democrats,22
california,22
culture,22
possible,22
test,22
jobs,22
point,22
attention,22
important,22
top,22
return,22
run,22
