Word,Count
brain,71
alzheimers,67
people,65
mother,61
father,55
medicine,53
health,49
disease,49
patients,47
year,47
march,44
drug,41
risk,37
exercise,37
home,36
company,36
medical,34
son,34
help,33
degree,32
life,31
director,31
school,31
implants,30
retired,30
drugs,30
daughter,29
graduated,28
treatment,28
couple,28
president,27
state,27
brides,26
high,26
blood,26
week,25
science,24
studies,24
researchers,24
percent,23
care,23
family,21
dementia,21
trial,21
women,20
research,20
date,19
college,19
found,18
want,18
friend,18
made,18
graduated,18
house,18
later,18
gallery,18
level,18
something,18
remains,18
law,18
months,17
effects,17
tax,17
take,17
groom,17
s,17
around,17
among,17
best,17
pressure,17
thomas,17
executive,17
million,17
think,17
con,17
las,17
masters,17
california,16
well,16
fat,16
team,16
four,16
church,16
center,16
cemetery,16
heart,16
odonovan,16
states,16
city,16
news,16
know,16
never,16
part,16
doctors,16
united,16
together,16
went,15
good,15
court,15
friends,15
fecal,15
study,15
brown,15
took,15
asked,15
philadelphia,15
old,15
una,15
age,15
chief,15
american,15
known,15
came,15
human,15
enough,15
beach,15
world,15
gagosian,15
important,15
firm,15
chavkin,15
make,14
see,14
really,14
needed,14
show,14
least,14
bride,14
washington,14
related,14
six,14
told,14
husband,14
baptist,14
trials,14
using,14
treat,14
early,14
need,14
often,14
less,14
days,14
since,14
public,14
shes,14
street,14
roithmayr,14
michael,13
used,13
sound,13
surgery,13
helmond,13
left,13
cognitive,13
whether,13
death,13
role,13
wanted,13
thing,13
come,13
learned,13
stool,13
place,13
data,13
story,13
making,13
started,13
end,12
breast,12
c,12
though,12
love,12
find,12
lot,12
social,12
vice,12
statin,12
body,12
se,12
artists,12
clinical,12
might,12
look,12
visceral,12
gave,12
memory,12
scientists,12
along,12
right,12
say,12
taking,12
recently,12
likely,12
better,12
next,12
credit,12
potential,12
late,12
job,12
smell,12
light,11
away,11
bar,11
second,11
como,11
book,11
thought,11
space,11
far,11
dating,11
al,11
angeles,11
real,11
sense,11
use,11
management,11
person,11
es,11
already,11
month,11
follow,11
moved,11
hadestown,11
name,11
business,11
institute,11
moran,11
cause,11
works,11
head,11
personal,11
television,11
reduce,11
professor,11
minister,11
knew,10
sandra,10
members,10
hes,10
mice,10
keane,10
cholesterol,10
evidence,10
mary,10
mrs,10
development,10
assistant,10
results,10
co,10
living,10
agency,10
associate,10
worked,10
club,10
almost,10
woman,10
future,10
control,10
su,10
brandon,10
problems,10
doesnt,10
history,10
senior,10
services,10
earlier,10
event,10
testing,10
john,10
food,10
q,10
hill,10
common,10
market,10
little,10
someone,10
across,10
sure,10
live,10
stay,10
products,10
painting,10
ill,10
implant,9
decision,9
man,9
daily,9
panel,9
mass,9
spring,9
media,9
transplants,9
cramer,9
mount,9
