Word,Count
said,82
people,78
peter,76
new,74
staley,74
would,67
recording,67
archived,67
like,65
aids,63
one,55
mr,54
years,51
school,50
women,47
high,42
year,41
time,39
men,39
many,37
patients,36
times,36
dr,34
two,33
treatment,33
patient,32
virus,32
$,31
drugs,30
percent,30
health,30
michael,29
drug,29
society,29
may,29
get,29
trump,28
cure,28
first,27
also,27
even,26
infection,26
still,26
much,25
us,25
going,24
advertisement,24
american,24
world,23
york,23
every,23
epidemic,22
government,22
budget,22
gay,22
barbaro,22
never,22
death,22
article,22
could,22
change,21
science,21
disease,21
made,20
however,20
today,20
infections,20
political,20
brown,20
almost,20
back,20
take,20
work,20
dont,20
state,19
make,19
act,19
last,19
long,19
climate,18
another,18
person,18
day,18
case,18
find,17
million,17
life,17
trumps,17
states,17
cured,17
prep,17
story,16
must,16
americans,16
south,16
infected,16
bone,16
news,16
around,16
got,16
care,16
class,15
right,15
home,15
need,15
immune,15
marrow,15
action,15
system,15
used,15
living,15
know,15
pills,15
although,15
become,15
think,15
reality,15
war,14
city,14
party,14
control,14
cells,14
open,14
yet,14
black,14
go,14
daily,14
see,14
white,14
thats,14
im,14
way,14
fight,14
sex,14
supported,14
might,13
united,13
plan,13
scientists,13
music,13
something,13
president,13
end,13
transplants,13
country,13
known,13
lives,13
experts,13
working,13
second,13
stories,12
things,12
want,12
away,12
called,12
london,12
similar,12
house,12
whether,12
often,12
speak,12
little,12
committee,12
power,12
young,12
help,12
within,12
public,12
cancer,12
say,12
cost,12
well,11
global,11
taking,11
since,11
family,11
put,11
keep,11
ago,11
months,11
berlin,11
start,11
novel,11
number,11
research,11
hard,11
medical,11
poor,11
group,11
without,11
transplant,11
information,10
fall,10
kind,10
week,10
come,10
plainsboro,10
died,10
prevention,10
america,10
success,10
less,10
speaker,10
department,10
different,10
costs,10
blood,10
big,10
order,10
donald,10
problem,10
programs,10
found,10
ever,10
future,10
free,10
test,10
truvada,10
doctors,10
fighting,10
man,10
started,10
hear,10
muslims,9
read,9
clinic,9
china,9
housework,9
rates,9
trying,9
director,9
risk,9
word,9
food,9
cut,9
makes,9
written,9
next,9
hope,9
worlds,9
nearly,9
immigrants,9
results,9
wanted,9
technology,9
officials,9
medicaid,9
human,9
members,9
others,9
modern,9
refugees,9
came,9
happened,9
bradbury,9
administration,9
single,9
self,9
masculinity,8
three,8
several,8
scientific,8
history,8
national,8
tests,8
named,8
real,8
response,8
across,8
positive,8
look,8
use,8
diseases,8
conference,8
century,8
past,8
couples,8
prices,8
needed,8
countries,8
love,8
san,8
received,8
finally,8
groups,8
freedom,8
republican,8
give,8
veterans,8
far,8
lack,8
especially,8
better,8
english,8
feedback,8
comes,8
struggles,8
fear,8
rising,8
door,8
billion,8
offered,8
body,8
felt,8
great,8
good,8
stem,8
timothy,8
half,8
treat,8
truth,8
godot,7
enough,7
policy,7
saying,7
believe,7
author,7
movement,7
silence,7
democrats,7
art,7
book,7
language,7
process,7
antiretroviral,7
international,7
instead,7
march,7
trials,7
wall,7
ccr,7
g,7
conjecture,7
reported,7
millions,7
showed,7
six,7
trial,7
pill,7
powerful,7
let,7
offer,7
upon,7
xenia,7
equal,7
arms,7
uganda,7
migrants,7
making,7
based,7
protect,7
search,7
show,7
children,7
africa,7
reach,7
jackson,7
reading,7
recent,7
proposal,7
donor,7
idea,7
part,7
rights,7
given,7
effects,7
tell,7
problems,7
thousands,7
testing,7
ray,7
program,7
population,7
justice,7
allegory,7
activists,7
youre,7
term,7
cell,7
saw,7
cases,7
mutation,7
face,7
metoo,7
choice,7
salesman,6
publishing,6
individual,6
immediately,6
wilson,6
mcneil,6
doctor,6
researchers,6
done,6
left,6
general,6
offering,6
run,6
toxic,6
seen,6
opposite,6
theyre,6
play,6
journey,6
therapy,6
thing,6
keeping,6
announced,6
third,6
write,6
major,6
understand,6
needs,6
develop,6
longer,6
business,6
using,6
piece,6
talk,6
among,6
medicare,6
gene,6
trade,6
form,6
full,6
early,6
eliminate,6
though,6
soon,6
services,6
sense,6
says,6
college,6
words,6
works,6
affirmative,6
resistant,6
uses,6
injections,6
causes,6
chores,6
divide,6
calif,6
deep,6
likely,6
month,6
mississippi,6
amount,6
equality,6
couldnt,6
remains,6
follow,6
forward,6
getting,6
border,6
francisco,6
carried,6
descovy,6
relationship,6
collatz,6
clinics,6
boys,6
bill,6
became,6
available,6
federal,6
describes,6
sound,6
activist,6
statement,6
street,6
students,6
study,6
fahrenheit,6
true,6
really,6
created,6
social,6
impossible,6
mugwumps,6
cuts,6
result,6
unable,6
remain,6
possible,6
north,6
citizens,6
jr,6
farmers,6
diagnosis,6
according,6
important,6
outside,6
former,6
knew,6
negative,6
learned,6
chinese,6
verona,5
avoid,5
waiting,5
knowledge,5
fail,5
farm,5
whole,5
williams,5
windsor,5
dobbs,5
nothing,5
obrien,5
homeless,5
media,5
labor,5
books,5
seem,5
price,5
ii,5
alone,5
greatest,5
center,5
data,5
fundamental,5
rural,5
trudeau,5
eventually,5
buy,5
stop,5
counselors,5
front,5
medication,5
presidents,5
side,5
blaine,5
west,5
sees,5
course,5
jobs,5
coughing,5
anyone,5
figure,5
deals,5
cover,5
loop,5
support,5
minister,5
throughout,5
focused,5
low,5
translators,5
probably,5
entire,5
believed,5
willy,5
theres,5
mass,5
towards,5
else,5
union,5
mathematical,5
agriculture,5
cave,5
force,5
california,5
governments,5
spread,5
articles,5
age,5
decade,5
together,5
simple,5
desire,5
actions,5
helped,5
feel,5
add,5
condoms,5
point,5
uninsured,5
bradburys,5
ones,5
company,5
op,5
mind,5
learning,5
moral,5
ed,5
edited,5
camps,5
david,5
censorship,5
gibson,5
born,5
facebook,5
sexual,5
respect,5
development,5
education,5
head,5
identity,5
continue,5
protein,5
simply,5
hills,5
lead,5
despite,5
request,5
tried,5
anderson,5
progress,5
told,5
late,5
asked,5
difficult,5
email,5
monday,5
rich,5
partners,5
walensky,5
live,5
pay,5
goal,5
frankenstein,5
quickly,5
seems,5
someone,5
