Word,Count
said,56
health,32
like,31
dr,31
new,28
one,26
flu,26
would,26
baffert,26
advertisement,26
could,25
people,25
ms,25
social,24
cozy,24
living,24
media,22
assisted,21
times,20
get,20
children,17
states,16
make,16
may,16
disease,16
time,16
care,16
vaccine,15
even,15
research,15
united,14
vaccination,14
year,14
medical,13
emergency,13
residents,13
college,13
work,13
many,13
long,13
public,13
measles,13
supported,13
feel,13
made,13
also,13
world,13
see,12
mr,12
lab,12
school,12
crown,12
diseases,11
two,11
races,11
take,11
making,11
first,11
chase,11
way,10
every,10
know,10
might,10
director,10
percent,10
home,10
still,10
triple,9
horse,9
often,9
sometimes,9
heart,9
parents,9
season,9
regional,9
got,9
us,9
yet,8
much,8
doctors,8
reported,8
announced,8
failure,8
facilities,8
university,8
use,8
horses,8
never,8
around,8
group,8
found,8
staff,8
recent,8
west,8
set,8
without,8
part,8
want,8
number,8
government,8
science,8
national,8
center,8
things,8
geneva,7
high,7
provide,7
go,7
headquarters,7
problems,7
called,7
need,7
york,7
angeles,7
boston,7
help,7
instagram,7
years,7
marathon,7
something,7
race,7
feeling,7
outbreaks,7
well,7
child,7
exemptions,7
virus,7
week,7
live,7
los,7
today,7
kind,7
nations,7
among,7
across,7
vaccines,7
let,7
seemed,7
good,7
later,7
california,7
works,6
days,6
told,6
already,6
didnt,6
news,6
different,6
effective,6
trainer,6
american,6
youre,6
run,6
felt,6
back,6
heres,6
family,6
say,6
taavoni,6
hospitalizations,6
americans,6
officials,6
older,6
owners,6
weekend,6
small,6
dangerous,6
viruses,6
cases,6
decision,6
low,6
ever,6
general,6
big,6
email,6
tell,6
become,6
brought,6
goes,6
offices,6
misinformation,6
outside,6
better,6
months,6
find,6
together,6
left,6
winner,6
testing,6
federal,6
including,6
since,6
three,6
country,6
last,6
though,6
organization,5
virtual,5
restaurant,5
piece,5
protect,5
arent,5
symptoms,5
used,5
bird,5
bill,5
nothing,5
death,5
age,5
washington,5
book,5
racing,5
community,5
requirements,5
stories,5
needed,5
body,5
nursing,5
stakes,5
definition,5
line,5
human,5
increase,5
likely,5
major,5
sense,5
office,5
lines,5
$,5
anti,5
labs,5
adults,5
sign,5
local,5
old,5
homes,5
influenza,5
runners,5
lead,5
half,5
post,5
instead,5
global,5
theres,5
program,5
friday,5
cause,5
flutist,5
move,5
must,5
music,5
running,5
friends,5
dont,5
talk,5
early,5
show,5
entrance,5
sites,5
thats,5
shira,5
deadly,5
spread,5
twitter,5
study,5
students,5
derby,5
whether,5
hollywood,5
five,5
century,5
four,5
rates,5
training,4
im,4
studies,4
trend,4
went,4
wisconsin,4
trip,4
think,4
along,4
agency,4
role,4
saturday,4
era,4
became,4
thousands,4
white,4
sent,4
friend,4
front,4
safe,4
cant,4
several,4
grew,4
hair,4
platforms,4
opera,4
humans,4
missing,4
large,4
says,4
night,4
less,4
test,4
note,4
happened,4
room,4
frequently,4
next,4
morning,4
facebook,4
reason,4
fox,4
state,4
young,4
centers,4
presented,4
bob,4
experts,4
everything,4
behind,4
support,4
plan,4
african,4
africa,4
wrote,4
falls,4
stay,4
countries,4
court,4
performance,4
third,4
documents,4
day,4
example,4
site,4
services,4
full,4
give,4
youll,4
received,4
mother,4
lot,4
outbreak,4
density,4
keep,4
someone,4
history,4
another,4
evening,4
sound,4
policies,4
berkeley,4
helped,4
read,4
student,4
scientists,4
bafferts,4
nurses,4
control,4
power,4
hard,4
merely,4
companies,4
rooms,4
changes,4
langs,4
thought,4
pandemic,4
alone,4
order,4
newsletter,4
sick,4
policy,4
late,4
polio,4
reporter,4
place,4
worked,4
seem,4
particular,4
decisions,4
researchers,4
practice,4
list,4
higher,3
focus,3
hall,3
risk,3
involve,3
instance,3
roots,3
asked,3
isaev,3
highly,3
kronhaus,3
views,3
association,3
isnt,3
books,3
jen,3
included,3
housecalls,3
up,3
epidemics,3
barn,3
redfield,3
greater,3
tedros,3
singing,3
