Word,Count
diabetes,3052
flu,2818
aids,2715
de,2593
cancer,2545
alzheimer,2175
s,1854
que,1728
la,1011
e,918
alzheimers,912
el,863
hiv,822
n,739
cncer,716
like,714
&,689
t,613
people,577
get,577
amp,552
eu,520
se,497
en,493
im,479
disease,468
com,420
one,412
got,412
con,403
da,392
band,392
know,386
para,374
trump,369
na,366
por,365
un,364
season,363
es,356
new,343
type,334
los,315
time,304
um,301
day,296
dementia,290
help,289
q,285
em,284
us,282
una,274
m,261
may,257
think,257
health,248
tem,248
longest,247
dont,246
two,239
early,235
man,235
need,235
would,234
via,232
risk,231
really,230
mi,229
good,227
lo,225
could,222
como,222
today,221
years,220
year,219
pra,218
also,213
treatment,212
go,204
decade,203
mas,200
ya,199
still,197
del,197
te,194
even,191
many,191
ser,187
support,186
never,185
le,184
care,184
c,184
life,182
blood,181
uma,181
see,179
going,178
take,177
si,176
feel,175
heart,174
meu,173
al,171
want,170
cure,169
first,168
much,166
th,164
cause,164
u,161
make,161
well,161
brain,159
says,157
back,156
w,156
research,156
every,154
stem,154
mais,154
l,153
sick,152
minha,151
j,150
hearing,150
old,150
wave,149
tu,149
las,148
work,148
patients,148
please,147
love,147
getting,146
ve,145
est,143
give,143
someone,142
said,140
last,139
week,139
skin,138
yo,135
best,135
study,135
bad,133
ele,131
mom,131
os,130
better,129
thing,129
made,128
sugar,128
ter,127
p,126
benefits,126
gt,126
read,125
conway,124
re,124
george,123
great,123
sleep,122
high,122
$,121
isso,120
hope,120
way,119
shit,119
ive,119
shows,118
presidency,118
right,118
fight,117
congress,116
son,116
long,116
news,116
say,115
di,115
mother,113
oh,113
die,113
thank,112
since,112
pero,112
sa,111
drug,111
remember,111
chocolate,111
cells,111
everyone,111
family,110
use,110
end,109
cant,109
always,108
h,108
puede,108
awareness,107
x,107
ever,106
eat,106
stomach,106
remove,106
ago,105
died,105
april,105
found,105
su,105
cell,105
home,105
thought,105
world,104
vai,104
didnt,104
ca,104
cold,103
ms,103
happy,101
around,101
stop,101
fuck,101
report,101
used,100
sure,100
living,100
oil,99
thats,99
food,99
free,98
cdc,98
test,97
might,97
prevent,97
tiene,96
gente,96
contra,95
vou,95
ver,95
ta,95
ll,94
come,93
easter,92
foi,92
b,92
something,92
yes,92
ha,91
friend,91
second,91
breakfast,90
lost,90
dad,90
white,90
lol,90
next,90
another,89
game,89
president,88
women,88
este,88
qu,88
check,87
diet,87
days,86
ela,86
shot,86
walk,86
gon,86
big,85
look,85
tipo,85
join,85
times,85
breast,84
must,84
money,83
memory,83
symptoms,83
watch,83
top,82
thanks,82
little,82
muito,82
fucking,82
post,81
diagnosed,81
things,81
md,80
youre,80
sobre,80
dr,80
medical,79
ok,79
away,79
real,78
yeah,78
todo,78
let,78
whats,78
rso,77
keep,77
person,77
v,77
eating,77
cbdoil,76
saying,76
tell,76
show,76
pq,76
find,75
essa,75
anyone,75
due,74
call,74
d,74
probably,74
insulin,74
ass,74
pelo,74
doctor,74
dia,74
put,74
black,73
f,73
makes,72
learn,72
story,71
tenho,71
aos,71
va,71
actually,71
yet,70
ou,70
trying,70
body,70
pure,70
hes,70
gave,70
saynotoaluminiumutensils,70
weight,69
vida,69
loss,69
woman,69
serious,69
god,68
kids,68
stage,68
death,68
drugs,68
raise,68
vc,68
r,68
nada,68
porque,67
dos,67
sim,67
damn,67
fla,66
ea,66
friends,66
soon,66
children,66
seen,65
+,65
cara,65
era,65
sorry,65
vem,65
video,65
bring,64
maybe,64
causes,63
live,63
believe,63
comer,63
told,63
ni,63
todos,63
looking,63
vaccine,63
riesgo,63
community,62
coming,62
lot,62
society,62
pro,62
ill,62
dan,62
esse,61
nos,61
worst,61
low,61
nem,61
without,60
control,60
soy,60
house,59
supposed,59
months,59
red,59
voc,59
healthy,59
pain,59
reason,59
together,59
patient,58
esta,58
sun,58
aluminium,58
needs,58
diseases,58
ao,57
color,57
ko,57
according,57
medicine,57
full,57
eso,57
k,57
three,57
young,57
took,57
men,57
aid,57
non,56
hear,56
bir,56
weeks,56
tanto,56
moon,56
done,56
lung,55
left,55
link,55
jogo,55
product,55
literally,54
called,54
cuando,54
water,54
weekend,54
everything,54
utensils,54
part,54
management,54
acho,54
girl,54
dog,54
organic,54
finally,54
sex,54
st,54
enfermedad,53
million,53
using,53
casa,53
started,53
ai,53
les,53
virus,53
bem,53
change,53
boy,53
das,53
obesity,53
quem,53
sign,53
super,53
hate,53
hoje,53
mueller,53
went,52
ne,52
anything,52
alzhimer,52
reduce,52
watching,52
hey,52
bu,51
already,51
book,51
looks,51
treat,51
personas,51
fun,51
night,51
making,51
ji,51
epidemic,51
important,51
reagan,51
