Word,Count
cancer,2413
de,741
cncer,685
que,385
el,381
la,252
e,171
trump,158
s,155
en,148
es,127
conway,124
por,124
un,122
&,117
n,112
se,112
presidency,112
george,111
like,109
los,104
congress,102
em,96
amp,96
t,92
one,91
im,89
remove,89
para,88
con,79
people,79
get,77
breakfast,75
rso,74
mother,73
breast,73
cbdoil,72
sa,72
eu,72
na,70
una,69
know,66
da,64
oil,63
saynotoaluminiumutensils,62
le,62
del,59
com,59
cause,58
al,58
take,56
pure,55
whats,55
te,54
organic,53
moon,53
lo,53
si,53
um,52
help,51
day,51
ea,51
risk,51
peixes,51
allure,51
product,51
dont,50
ser,50
q,50
sun,49
life,49
utensils,48
aries,48
leo,48
taurus,47
lung,47
mi,47
patients,46
rick,46
c,46
ll,46
son,45
m,45
new,45
aluminium,45
tirei,45
would,45
como,45
time,45
puede,45
love,44
serious,44
este,44
ji,44
got,44
may,44
ms,44
pero,44
treatment,44
simpsons,44
riesgo,44
las,43
good,43
signo,43
friend,41
go,41
soy,40
ya,40
well,39
us,39
via,39
pledge,38
tu,38
cure,38
mas,38
want,38
bcz,38
est,37
yo,37
today,37
man,36
year,36
mama,36
notuse,36
virgo,35
best,35
mom,35
effe,35
ko,34
rising,34
study,34
mga,34
world,34
also,34
qu,33
uma,33
never,32
really,32
fight,32
died,32
scorpio,32
family,32
u,32
libra,32
could,31
says,31
post,31
even,31
pra,31
gemini,31
support,31
eres,30
first,30
calls,30
l,30
contra,30
woman,30
research,29
stage,29
still,29
lost,29
years,29
week,28
dad,28
pisces,28
use,28
yes,28
please,28
think,28
make,28
estudio,28
diagnosed,28
someone,28
april,27
th,27
much,27
need,27
fuck,27
blood,27
found,27
bacon,27
re,26
todos,26
ml,26
heart,26
old,26
ka,26
tem,26
news,26
health,26
husband,26
women,26
might,26
give,26
venus,25
tiene,25
every,25
eso,25
worst,25
say,24
used,24
mastologia,24
care,24
cannabis,23
p,23
ca,23
going,23
sete,23
ako,23
gt,23
meu,23
report,23
ng,23
opinion,23
terminal,23
sim,23
causar,22
many,22
cant,22
hope,22
stop,22
last,22
way,22
kellyanne,22
two,22
esta,22
ass,22
youre,22
children,22
op,22
ive,22
made,21
brain,21
back,21
disease,21
read,21
thank,21
society,21
isso,21
meat,21
ed,21
great,21
madre,21
les,21
lagoas,21
os,21
contraer,21
clnica,21
disminuye,21
w,20
ever,20
h,20
su,20
bowel,20
hgado,20
home,20
lol,20
water,20
eating,20
something,20
hospital,20
skin,20
bring,20
see,20
hes,20
everyone,20
ni,20
away,20
death,20
prostate,20
another,20
mamografia,20
cells,20
colon,19
said,19
sorry,19
sure,19
little,19
sign,19
solo,19
food,19
men,19
work,19
right,19
capricorn,19
die,19
ascendente,19
ginecologista,19
thats,19
damn,19
ver,19
ares,19
look,19
next,19
f,19
without,19
shit,19
washington,19
always,19
ingrediente,18
oh,18
g,18
live,18
