Word,Count
diabetes,3017
de,776
que,489
la,373
type,307
e,208
el,184
eu,177
s,168
&,165
en,154
n,135
like,135
se,134
get,133
people,131
sugar,122
para,121
t,120
da,120
con,116
es,110
blood,110
los,110
amp,108
health,106
una,105
com,101
heart,97
chocolate,94
im,90
un,88
risk,83
lo,82
one,79
know,79
disease,75
por,75
may,73
insulin,72
mi,68
na,68
high,67
new,66
diet,62
ya,61
te,60
help,60
um,60
think,60
need,58
q,58
dont,58
como,58
much,57
good,56
also,55
got,55
via,55
minha,55
comer,55
see,54
cancer,53
las,53
tipo,52
tem,51
obesity,51
drug,50
gt,50
meu,48
would,48
si,47
want,47
weight,47
today,47
del,47
em,46
vou,46
easter,46
eat,46
food,45
uma,45
many,45
treatment,45
time,45
day,43
give,43
m,42
doce,41
pra,40
could,40
tu,40
yo,40
going,40
eating,39
thing,37
tanto,37
go,37
le,37
really,36
feel,36
life,36
care,36
check,36
su,36
benefits,35
vem,35
diabetic,35
take,35
control,34
$,34
year,34
sleep,33
son,33
mas,33
study,33
happy,33
ser,33
way,33
dog,33
fat,32
cure,32
make,32
love,32
pain,32
first,32
reverse,31
ver,31
tenho,31
shit,31
man,31
dulce,31
die,30
us,30
well,29
failure,29
obesidad,29
medical,29
even,29
ter,29
prevent,29
oh,29
always,29
u,29
va,29
doctor,29
pscoa,29
w,29
lower,28
casa,28
j,28
pressure,28
kidney,28
pero,28
low,28
di,28
everyone,28
getting,28
best,28
please,28
still,27
free,27
patients,27
healthy,27
glucose,27
azcar,27
big,27
dia,26
th,26
thanks,26
years,26
sweet,26
insulina,26
ve,26
ha,26
loss,26
early,26
research,26
comi,25
isso,25
td,25
right,25
ms,25
al,25
stroke,25
todo,25
dar,25
bad,25
great,24
cncer,24
morrer,24
tiene,24
bisa,24
management,24
vai,24
join,24
every,24
dr,23
someone,23
tengo,23
mais,23
use,23
ela,23
gente,23
diagnosed,23
gon,23
puede,23
mellitus,23
dan,23
ever,23
looks,22
meat,22
personas,22
qu,22
support,22
porque,22
nunca,22
vida,22
sure,22
re,22
ok,21
put,21
drink,21
dio,21
problemas,21
let,21
h,21
found,21
sobre,21
pq,21
read,21
symptoms,21
back,21
video,21
probably,21
l,21
oil,20
mental,20
living,20
das,20
cant,20
carb,20
cada,20
learn,20
pneumonia,20
another,20
might,20
levels,20
diseases,20
thank,20
dad,20
hoje,20
aos,20
mom,20
salud,20
ice,19
according,19
agora,19
find,19
ovo,19
mucho,19
exercise,19
cream,19
news,19
medicine,19
associated,19
ca,19
work,19
look,19
cause,19
watch,19
anyone,19
keto,19
fuck,19
ta,19
little,19
yeah,19
post,19
children,19
stop,19
drugs,19
friend,19
ass,18
prediabetes,18
around,18
family,18
adults,18
ago,18
enfermedades,18
tomar,18
long,18
reduce,18
tener,18
c,18
ficar,18
show,18
top,18
p,18
manis,18
never,18
gejala,18
problems,18
say,18
acar,17
selalu,17
overweight,17
live,17
cbd,17
something,17
service,17
real,17
racista,17
sim,17
natural,17
ii,17
ele,17
better,17
two,17
kids,17
old,17
lost,17
cara,17
increase,17
fazer,17
thats,17
used,16
herbal,16
pertanda,16
dos,16
enfermedad,16
giving,16
blog,16
actually,16
companies,16
sering,16
increases,16
increased,16
ll,16
deus,16
cu,16
looking,16
likely,16
eso,16
job,16
solo,16
nos,16
click,16
consumption,16
made,16
os,16
said,16
kelelahan,16
hard,15
training,15
obesidade,15
awareness,15
due,15
improve,15
d,15
since,15
+,15
pai,15
tan,15
hes,15
cholesterol,15
change,15
mesmo,15
sugary,15
youre,15
penderita,15
anxiety,15
week,15
ways,15
red,15
keep,15
wa,15
super,15
daily,15
chronic,15
pagi,15
self,14
contra,14
link,14
yg,14
pre,14
developing,14
x,14
hj,14
esse,14
water,14
vs,14
american,14
v,14
awesome,14
ni,14
article,14
away,14
story,14
tudo,14
typediabetes,14
months,14
drinking,14
est,14
hasta,14
kill,14
causa,14
pets,14
assim,14
sobrepeso,14
essa,14
everything,14
treat,14
buena,14
esta,14
almost,14
manage,14
idea,14
home,14
million,14
god,13
association,13
dieta,13
tanta,13
dengan,13
lowcarb,13
cases,13
cardiovascular,13
died,13
researchers,13
taste,13
depression,13
late,13
test,13
caused,13
tell,13
b,13
ja,13
muito,13
este,13
shows,13
mal,13
menos,13
come,13
trying,13
women,13
body,13
second,13
id,13
riesgo,13
things,13
meds,13
isnt,13
vc,13
movement,13
common,12
nutrition,12
science,12
nessa,12
pessoas,12
colesterol,12
ignore,12
ir,12
yes,12
cuando,12
hate,12
related,12
call,12
lmao,12
med,12
semana,12
together,12
brain,12
proven,12
money,12
sa,12
tienes,12
amanh,12
surgery,12
enough,12
anos,12
juga,12
thinking,12
hey,12
gave,12
april,12
aqui,12
reversed,12
lot,12
epidemic,12
ah,12
next,12
wealth,12
understand,12
bit,12
carbs,12
estn,12
healthcare,12
doces,12
acho,12
level,12
sucks,12
fucking,12
gestational,12
etc,12
ganhei,12
diabe,12
ener,11
esto,11
factor,11
r,11
raise,11
linked,11
hear,11
public,11
ao,11
ill,11
slow,11
siento,11
asam,11
physical,11
set,11
pode,11
thought,11
mean,11
update,11
pqp,11
ainda,11
eggs,11
breakfast,11
hola,11
mo,11
using,11
f,11
emagrecer,11
book,11
makes,11
k,11
sin,11
diab,11
community,11
uno,11
urat,11
medication,11
effect,11
sugars,11
een,11
ac,11
try,11
tips,11
says,11
took,11
abuela,11
metabolic,10
report,10
bi,10
needs,10
pascoa,10
patient,10
ng,10
sade,10
nada,10
vamos,10
published,10
plant,10
soy,10
nem,10
pwd,10
full,10
cat,10
agarrar,10
bacon,10
sntomas,10
yet,10
candy,10
based,10
whole,10
sorry,10
bom,10
wrong,10
pump,10
clulas,10
ive,10
chance,10
saying,10
mate,10
seperti,10
tho,10
ready,10
ada,10
penyakit,10
advice,10
amo,10
wait,10
price,10
side,10
ea,10
socialmedia,10
different,10
mano,10
ko,10
overall,10
days,10
biggest,10
mundo,10
important,10
gestacional,10
ini,10
present,10
ia,10
month,10
fico,10
genetic,10
dias,10
voy,10
already,10
app,10
definitely,10
others,10
ideal,10
win,10
estar,10
ne,10
lets,10
feeling,10
believe,10
death,10
nao,10
ai,10
costs,9
caralho,9
todos,9
black,9
doc,9
dll,9
small,9
faz,9
toda,9
aku,9
making,9
baby,9
example,9
voice,9
newtrip,9
morro,9
chicken,9
hospital,9
among,9
sweets,9
complications,9
animal,9
comment,9
wow,9
last,9
working,9
whatsapp,9
mario,9
~,9
manager,9
effective,9
lrraga,9
gets,9
comendo,9
jus,9
added,9
least,9
worry,9
realize,9
system,9
lifestyle,9
trust,9
walk,9
dex,9
told,9
miles,9
outcomes,9
poor,9
consumo,9
men,9
cuidado,9
jual,9
posso,9
demencia,9
normal,9
ga,9
therapy,9
st,9
voc,9
reduces,9
anything,9
pela,9
yall,9
cute,9
whats,9
pior,9
ifb,9
bmi,9
honestly,9
left,9
function,9
era,9
pacientes,9
skinny,9
hacer,9
become,9
biodisc,9
guess,9
wont,9
benefit,9
running,9
fitness,9
follow,9
marijuana,8
launching,8
asia,8
obat,8
government,8
develop,8
gracias,8
three,8
diabet,8
algo,8
kid,8
though,8
agarra,8
arroz,8
lt,8
course,8
medications,8
coming,8
depois,8
taking,8
regarding,8
clinical,8
tdiabetes,8
abt,8
illness,8
processed,8
muchos,8
hace,8
peso,8
torta,8
labels,8
fighting,8
kalo,8
personal,8
desde,8
vos,8
whatever,8
affects,8
sometimes,8
including,8
tested,8
monitoring,8
autoimmune,8
gives,8
sou,8
diabtico,8
foundation,8
ketogenic,8
meet,8
sick,8
problem,8
causes,8
kamu,8
interesting,8
break,8
must,8
bring,8
dios,8
share,8
americans,8
girl,8
anyway,8
cutting,8
lol,8
team,8
mother,8
went,8
finds,8
past,8
child,8
bueno,8
ones,8
restrained,8
attack,8
culpa,8
foods,8
fruit,8
wanted,8
bem,8
het,8
tratamiento,8
renal,8
friends,8
times,8
pasado,8
alta,8
und,8
annual,8
studies,8
otro,8
mc,8
results,8
toes,8
person,8
consequences,8
ay,8
threat,8
ahora,8
individuals,8
maag,8
less,8
dead,8
esses,8
tooth,8
didnt,8
burden,8
tidak,7
meal,7
lie,7
facts,7
happens,7
enjoy,7
tema,7
diabetics,7
gran,7
onset,7
happen,7
alto,7
gone,7
front,7
existe,7
imaginei,7
otras,7
dijo,7
dinner,7
feels,7
vegan,7
game,7
behind,7
father,7
drinks,7
world,7
far,7
obesida,7
group,7
paleo,7
presin,7
verme,7
registered,7
untuk,7
warning,7
end,7
oi,7
matar,7
foi,7
0,7
fact,7
usa,7
company,7
up,7
beans,7
asthma,7
bgt,7
consume,7
pascua,7
terrible,7
jaime,7
cured,7
season,7
fast,7
lethal,7
orang,7
sad,7
point,7
house,7
uns,7
in,7
dying,7
huevos,7
kkkk,7
van,7
developed,7
store,7
liver,7
youll,7
eye,7
condition,7
idk,7
line,7
pegar,7
unfortunately,7
dgn,7
bikin,7
sus,7
miel,7
morir,7
rates,7
track,7
antes,7
dois,7
sem,7
timing,7
gula,7
dude,7
jardiance,7
managing,7
theres,7
opportunity,7
head,7
nearly,7
protect,7
esas,7
deep,7
typ,7
pay,7
ako,7
esos,7
morreu,7
complicaciones,7
reveals,7
bills,7
true,7
affordable,7
metformin,7
havent,7
juvenile,7
watching,7
cavities,7
ese,7
lowers,7
gua,7
able,7
lose,7
diets,7
pin,7
music,7
estou,7
sales,7
nossa,7
saber,7
room,7
conversation,7
doena,7
sms,7
diagnosis,7
poderia,7
issue,7
bc,7
weightloss,7
shots,7
talk,7
finally,7
doctors,7
puedo,7
kind,7
variants,7
vegetables,7
bruning,7
reverses,7
analysis,7
name,7
heres,7
soon,7
often,7
signs,7
sino,7
shes,7
dietary,6
bien,6
eyes,6
fascista,6
foro,6
talking,6
liat,6
skyrocket,6
pizza,6
meeting,6
donate,6
part,6
leche,6
nanti,6
kalau,6
genocdio,6
global,6
researcher,6
following,6
obese,6
goal,6
half,6
amiga,6
anniversary,6
images,6
usually,6
honey,6
uwu,6
hypertension,6
harm,6
fabrican,6
hayas,6
alkaline,6
ataca,6
hiv,6
issues,6
freekonsultasi,6
aid,6
walking,6
banned,6
av,6
hbac,6
diacont,6
uk,6
funny,6
bolo,6
trees,6
unidades,6
egg,6
tinggi,6
term,6
vi,6
affected,6
coca,6
dice,6
sudah,6
bandung,6
connection,6
social,6
smua,6
smoking,6
tapi,6
tax,6
education,6
contact,6
spring,6
selain,6
either,6
diputado,6
sapo,6
america,6
cdc,6
alcohol,6
webby,6
*,6
done,6
young,6
yea,6
cantidad,6
vote,6
vitamin,6
connect,6
kg,6
debe,6
car,6
combat,6
utube,6
dramaurah,6
tweet,6
knowledge,6
play,6
pretty,6
drunk,6
brother,6
dm,6
struggle,6
tinha,6
face,6
cuts,6
darah,6
offer,6
active,6
number,6
nhs,6
fui,6
primer,6
ppl,6
prayer,6
pues,6
quem,6
certain,6
ask,6
emergency,6
damn,6
changes,6
entre,6
charlie,6
excellent,6
remember,6
everybody,6
reason,6
prostate,6
exactly,6
trasplante,6
productoras,6
forever,6
rich,6
size,6
population,6
pensando,6
caso,6
cats,6
improved,6
mxico,6
large,6
october,6
mejor,6
start,6
darahtinggi,6
tea,6
calories,6
sabrs,6
poca,6
officially,6
built,6
minutes,6
sufrir,6
salvo,6
jangan,6
concept,6
summer,6
seria,6
medo,6
blind,6
peligros,6
fo,6
hipertensin,6
cueva,6
case,6
foot,6
ou,6
partner,6
complicaes,6
treating,6
aging,6
all,6
twitter,6
worse,6
quer,6
esa,6
serious,6
consider,6
okay,6
avoid,6
pessoal,6
typeonegrit,6
nurse,6
recommends,6
listas,6
gorda,6
simply,6
jerawat,6
risks,6
humans,6
huge,6
cerebral,6
buy,6
rise,6
hub,6
started,6
kidneys,6
morre,6
learned,6
mil,6
meta,6
fun,6
jvenes,6
helping,6
birthday,6
estava,6
yr,6
birth,6
diatasi,6
luego,6
healing,6
mum,6
history,6
lbs,6
dementia,6
quanto,6
raising,6
questions,6
seriously,6
ltimos,6
happening,6
poner,6
receiving,6
deserved,6
maybe,6
pictures,6
percent,6
gordo,6
syndrome,6
crazy,6
cuantas,6
takes,6
minhas,6
preventing,6
prevents,6
programas,6
fan,6
quiere,6
strips,6
friendly,6
prevention,6
consensus,5
wan,5
score,5
else,5
sendi,5
swim,5
secretary,5
release,5
independent,5
reduction,5
dicho,5
doesnt,5
servant,5
straight,5
coordinator,5
disproportionately,5
filled,5
putting,5
reading,5
services,5
epilepsy,5
sister,5
feet,5
seeing,5
lebih,5
weekend,5
shocked,5
dando,5
completely,5
cells,5
dari,5
journey,5
crnicas,5
toma,5
topic,5
creo,5
preventable,5
prevencin,5
cura,5
desafiando,5
selling,5
woman,5
weak,5
thread,5
deal,5
dicas,5
testing,5
diane,5
bagi,5
refined,5
cn,5
controlar,5
cual,5
despus,5
tipe,5
showed,5
desenvolvo,5
expanding,5
civil,5
statins,5
tastes,5
single,5
role,5
btw,5
quando,5
comes,5
instant,5
models,5
mortality,5
cup,5
cosas,5
jesus,5
higher,5
weeks,5
guidelines,5
knows,5
pancreas,5
green,5
menurunkan,5
beat,5
hi,5
meses,5
beller,5
fora,5
yrs,5
mata,5
mau,5
aucar,5
wonder,5
mismo,5
nd,5
att,5
leading,5
gain,5
juice,5
je,5
aw,5
les,5
noticed,5
apparently,5
hea,5
hole,5
anti,5
heavy,5
impossible,5
hand,5
homem,5
morning,5
ich,5
direita,5
dexcom,5
gift,5
buscan,5
acid,5
cola,5
falar,5
truly,5
problema,5
dizendo,5
basket,5
event,5
impact,5
prevenir,5
childhood,5
diabetestipo,5
piece,5
asociadas,5
thousands,5
expert,5
especially,5
pote,5
preciso,5
remission,5
along,5
otros,5
deca,5
portions,5
notice,5
pena,5
center,5
novos,5
feliz,5
coffee,5
exceso,5
negro,5
ganas,5
g,5
cannabis,5
hope,5
vision,5
physically,5
fortalecer,5
cards,5
veo,5
canela,5
ustedes,5
prescription,5
caf,5
pap,5
party,5
hello,5
sang,5
boy,5
dies,5
grandes,5
liquid,5
cudate,5
tia,5
step,5
losing,5
stellaryves,5
helps,5
hav,5
dblog,5
place,5
der,5
desse,5
device,5
nombre,5
hijo,5
controlando,5
pico,5
clearly,5
resistance,5
products,5
challenge,5
telling,5
cima,5
pcos,5
grasas,5
alzheimers,5
latest,5
local,5
fight,5
protects,5
amor,5
persona,5
porta,5
dietas,5
cell,5
tena,5
cmo,5
mierda,5
retinopathy,5
mto,5
bantu,5
aucaradas,5
order,5
followbalik,5
mit,5
excess,5
fue,5
fair,5
fake,5
novo,5
asma,5
pasan,5
coma,5
energa,5
slim,5
complex,5
bell,5
plus,5
racistas,5
beb,5
bebidas,5
pic,5
enche,5
shy,5
possible,5
dulzura,5
apenas,5
approach,5
quenosetepase,5
lack,5
trastornos,5
posted,5
tipos,5
ad,5
acabei,5
bodies,5
sir,5
pasar,5
onda,5
shoes,5
aneka,5
partiendo,5
ayudar,5
madre,5
buenas,5
tonight,5
affect,5
lilly,5
immune,5
instead,5
rn,5
nothing,5
heard,5
taco,5
dms,5
lagi,5
woke,5
yang,5
visit,5
healthier,5
photos,5
ob,5
bolsonaro,5
pls,5
visits,5
afford,5
nyeri,5
teeth,5
met,5
parents,5
transfer,5
calls,5
message,5
calorie,5
guys,5
pregnancy,5
safe,5
usted,5
cardiovasculares,5
page,5
padecen,5
kkk,5
inflammation,5
medtech,4
reads,4
controla,4
necessary,4
rather,4
loaded,4
typeonediabetes,4
argentina,4
nivel,4
additional,4
mums,4
pop,4
ovos,4
otra,4
animals,4
meio,4
card,4
pueden,4
aumentan,4
vacaciones,4
aumenta,4
created,4
pinche,4
catch,4
quotes,4
coisas,4
checked,4
adh,4
non,4
batendo,4
projeto,4
advisory,4
perdn,4
charla,4
reumatik,4
nude,4
planetfitness,4
aber,4
mothers,4
carnivorediet,4
pessoa,4
queria,4
bolster,4
recommended,4
partir,4
list,4
whether,4
quienes,4
peguei,4
contrario,4
makan,4
caixa,4
discussing,4
tx,4
tiny,4
pace,4
inside,4
paleoketogenic,4
outside,4
er,4
entera,4
tl,4
pinned,4
jobs,4
podcast,4
project,4
podra,4
pas,4
thin,4
informes,4
known,4
program,4
insipidus,4
provocadas,4
lay,4
option,4
seems,4
seen,4
cuz,4
medicare,4
weird,4
summit,4
nutritional,4
suffer,4
highly,4
fever,4
ik,4
muchas,4
sprung,4
inability,4
nata,4
include,4
ndice,4
older,4
niggas,4
novel,4
university,4
shocking,4
quera,4
quero,4
perhaps,4
source,4
stay,4
stomach,4
ketone,4
sufre,4
cold,4
switzerland,4
sempre,4
pada,4
mexico,4
miedo,4
terkena,4
sangre,4
texan,4
omg,4
revolution,4
retweet,4
olha,4
ojal,4
chocolates,4
stage,4
kami,4
du,4
society,4
dormir,4
ist,4
picked,4
lindo,4
pide,4
stevia,4
seguro,4
dis,4
pissed,4
sendo,4
sensores,4
sentence,4
jual_beli,4
several,4
slumber,4
pncreas,4
marshmallows,4
positive,4
