Word,Count
flu,2813
season,341
que,300
e,280
de,277
longest,236
decade,200
like,194
get,178
got,174
im,168
n,159
two,157
wave,147
s,146
sick,125
na,122
time,113
um,110
us,110
t,109
com,107
eu,103
&,103
se,98
da,96
stomach,96
cold,94
mas,91
amp,88
q,87
pra,82
tem,82
em,82
cdc,79
day,75
shot,74
mais,74
feel,73
says,71
x,71
man,70
m,69
really,68
ele,68
fla,66
one,66
still,63
week,63
os,62
good,62
getting,62
para,61
year,60
bad,59
pelo,58
going,58
go,56
foi,56
second,56
last,55
jogo,54
today,54
ser,53
vai,51
think,50
back,50
better,50
years,50
ive,49
por,48
game,47
camisa,47
work,47
j,47
people,46
fluminense,46
dont,45
muito,45
vaccine,44
hope,44
meu,41
know,41
p,40
ve,40
viral,40
record,39
como,39
oh,39
swine,39
weeks,39
surprising,39
days,38
ago,38
uma,38
would,38
well,37
via,37
u,36
fever,36
vasco,36
need,36
cant,35
isso,35
breaking,34
also,34
bed,34
many,34
right,34
home,34
pedro,33
never,33
new,33
essa,33
even,32
ta,31
around,31
shots,31
take,31
want,31
since,31
every,31
pro,30
ok,30
aku,30
virus,30
duration,30
nada,29
due,29
everaldo,29
make,29
vou,29
ao,29
santa,29
made,29
bem,28
gon,28
months,28
see,28
weekend,28
thing,28
c,28
cara,28
terms,27
nem,27
contra,27
gol,26
w,26
pode,26
re,26
body,26
caught,26
l,26
hit,26
night,26
ya,26
ver,26
sure,25
ter,25
catch,25
soon,25
damn,25
esse,24
news,24
first,24
nova,24
lagi,24
thought,24
fred,24
bir,24
mild,24
thank,24
la,24
three,24
easter,24
times,23
die,23
ainda,23
influenza,23
bu,23
torcida,23
b,23
always,23
shit,23
next,22
lol,22
great,22
th,22
feeling,22
pq,22
might,22
ca,22
life,22
long,21
much,21
ill,21
help,21
please,21
something,21
sleep,21
come,21
quem,21
ou,21
ir,21
tempo,21
health,20
trying,20
bird,20
short,20
could,20
diniz,20
hoje,20
coming,20
may,20
say,19
food,19
anyone,19
sakit,19
ne,19
finally,19
volta,19
minha,19
give,19
care,19
vc,19
deus,19
era,19
est,19
acho,19
sou,19
morning,19
tonight,19
fucking,19
dia,19
worst,18
pela,18
jogos,18
tu,18
dos,18
throat,18
way,18
queria,18
came,18
bom,18
bitch,18
sim,18
away,18
cruz,18
shaping,18
old,18
symptoms,18
ever,17
far,17
quando,17
infection,17
sempre,17
worse,17
fuck,17
read,17
mau,17
gets,17
eat,17
h,17
best,17
ficar,17
jordan,17
sobre,17
gt,17
keto,17
gone,17
brasil,17
batuk,16
dan,16
agora,16
tudo,16
show,16
youre,16
mom,16
makes,16
brasileiro,16
melhor,16
nose,16
maracan,16
love,16
yet,16
ini,16
keep,16
didnt,16
jogadores,16
let,15
nos,15
comprar,15
var,15
started,15
demais,15
vaccines,15
bc,15
said,15
sucks,15
measles,15
felt,15
yes,15
wav,15
+,15
cough,15
thanks,15
happy,15
everyone,15
died,15
bug,15
immune,15
air,14
eles,14
ha,14
done,14
v,14
mi,14
mesmo,14
mano,14
someone,14
coisa,14
colds,14
world,14
yang,14
dying,14
ke,14
sorry,14
top,14
thats,14
flamengo,14
bro,14
tomorrow,14
vitria,14
hj,14
real,14
te,14
aqui,14
tell,14
things,14
primeiro,14
kids,14
gotten,13
jogar,13
di,13
deaths,13
chocolate,13
baby,13
lo,13
ada,13
en,13
gente,13
friends,13
ass,13
report,13
clube,13
left,13
feels,13
ni,13
gave,13
maybe,13
kill,13
copa,13
cbs,13
vcs,13
feliz,13
kkkk,13
cause,13
fora,13
gilberto,13
case,13
system,13
assim,13
medicine,12
girl,12
doesnt,12
demam,12
meds,12
parabns,12
god,12
literally,12
actually,12
fala,12
linda,12
maior,12
tapi,12
stay,12
falar,12
estdio,12
hospital,12
young,12
avoid,12
turns,12
working,12
went,12
heart,12
voc,12
winter,12
cnn,12
deu,12
seen,12
saying,12
kind,12
gols,12
wan,12
corinthians,12
voice,12
government,12
everything,12
udah,12
teve,11
allergies,11
jogador,11
maraca,11
fazer,11
family,11
cruzeiro,11
glad,11
sore,11
st,11
little,11
anos,11
wow,11
blusa,11
hours,11
gak,11
tava,11
illness,11
d,11
vem,11
hot,11
high,11
doctor,11
water,11
death,11
depois,11
ah,11
ga,11
already,11
believe,11
drinking,11
havent,11
weather,11
nothing,11
adecade,11
ano,11
period,11
lot,10
triste,10
currently,10
outro,10
tricolor,10
woke,10
pilek,10
common,10
states,10
pouco,10
bgt,10
strep,10
grande,10
bisa,10
seems,10
ela,10
sei,10
nice,10
el,10
look,10
tired,10
perde,10
rest,10
guess,10
gosto,10
remember,10
stop,10
aja,10
kena,10
id,10
faz,10
con,10
end,10
late,10
taking,10
coughing,10
bola,10
officially,10
jadi,10
took,10
pain,10
current,10
play,10
sub,10
headache,10
k,10
watch,10
fez,10
another,10
santos,10
menos,9
ice,9
amazing,9
yo,9
disse,9
dele,9
tho,9
son,9
annoying,9
sama,9
healthy,9
super,9
kan,9
guys,9
ganhou,9
wrong,9
weight,9
ganso,9
quer,9
ll,9
torcedor,9
pneumonia,9
toda,9
hour,9
fl,9
later,9
full,9
final,9
crianas,9
usa,9
g,9
lmao,9
atlanta,9
less,9
april,9
dois,9
hard,9
spanish,9
rn,9
told,9
algum,9
pretty,9
size,9
sickness,9
used,9
joga,9
post,9
*,9
pior,9
head,9
pandemic,9
f,9
boa,9
todos,9
seasons,9
whole,9
awful,9
vs,9
sem,9
based,9
activity,9
quiser,9
house,9
amor,9
vaccinated,9
quero,9
tinha,9
try,9
school,8
jab,8
pls,8
retro,8
contrato,8
thinks,8
check,8
bit,8
haha,8
yeah,8
siz,8
todo,8
@,8
drink,8
tryna,8
break,8
dog,8
campeo,8
mt,8
mother,8
dari,8
querer,8
dear,8
vezes,8
ready,8
ko,8
update,8
laranjeiras,8
kenak,8
wake,8
ento,8
aquele,8
tweet,8
hep,8
talking,8
spread,8
tambm,8
killing,8
cases,8
amigo,8
total,8
state,8
mal,8
vamos,8
definitely,8
summer,8
mim,8
nesse,8
dr,8
often,8
possibly,8
black,8
ugh,8
juga,8
lemon,8
futebol,8
nike,8
saturday,8
vantagem,8
early,8
cool,8
nas,8
obat,8
hands,8
gini,8
tb,8
okay,8
mine,8
luciano,8
wish,8
hi,8
media,8
free,8
turned,8
panas,8
ttulo,8
le,8
sen,8
alm,8
tp,8
called,8
viruses,8
badan,8
managed,8
change,8
official,8
dad,8
predict,7
goes,7
una,7
hari,7
single,7
yall,7
onde,7
sabe,7
problema,7
tests,7
dikit,7
chicken,7
reason,7
byle,7
eating,7
hora,7
mo,7
verdade,7
recovering,7
swear,7
boy,7
everybody,7
wonder,7
ginger,7
tanto,7
able,7
kkk,7
story,7
tv,7
vaccination,7
enough,7
looking,7
stuck,7
ja,7
blog,7
aches,7
uns,7
join,7
seu,7
ho,7
kkkkkkkkkk,7
vaccinations,7
bikin,7
urgent,7
estou,7
yok,7
vi,7
yesterday,7
available,7
imagine,7
suffering,7
voltou,7
kid,7
fun,7
ama,7
fight,7
pqp,7
tak,7
kicking,7
saber,7
kkkkk,7
though,7
akhirnya,7
sembuh,7
concordo,7
course,7
vitamin,7
crap,7
$,7
~,7
aint,7
certo,7
mad,7
kamu,7
hes,7
remedy,7
ben,7
seem,7
probably,7
lan,7
sport,7
yg,7
minum,7
friend,7
garlic,7
jogou,7
kalau,7
kalo,7
apparently,7
hate,7
kkkkkkk,7
sering,7
friday,7
voltar,7
disease,7
poisoning,7
extra,7
miss,7
lah,7
decided,7
anak,7
pessoas,7
hn,7
entre,7
feira,7
kelvin,7
playing,7
nunca,7
pay,7
almost,7
amigos,7
talk,7
tried,7
ia,7
gosta,7
chance,7
call,7
gzel,7
legit,7
cure,7
senin,6
must,6
experience,6
grinding,6
busy,6
difcil,6
padahal,6
fosse,6
birthday,6
fluseason,6
running,6
ye,6
apa,6
holiday,6
estadual,6
espero,6
ji,6
hurts,6
patients,6
hello,6
al,6
un,6
joke,6
nasty,6
tenho,6
antes,6
supposed,6
ms,6
gfpa,6
gibi,6
saynotoaluminiumutensils,6
pas,6
terrible,6
killed,6
tha,6
sair,6
tan,6
seriously,6
jangan,6
